removed_pct,removed_n,remaining_n,group_fold,mean_effect,positive_remaining
0,0,1057,8.91051651013636,0.2745000014634576,919
1,10,1047,8.670544757978218,0.2677026656442957,909
2,21,1036,8.436751360318777,0.26020842511133135,898
3,31,1026,8.234394889796034,0.25331339228846467,888
4,42,1015,8.01967286115994,0.24562490866448744,877
5,52,1005,7.835487930062069,0.23855788531864347,867
6,63,994,7.646401063532167,0.2307061464508613,856
7,73,984,7.4903604532667085,0.22351441281683382,846
8,84,973,7.373029459408342,0.21580399058438304,835
9,95,962,7.247767795613593,0.20876157686139413,824
10,105,952,7.185083645712376,0.20329396402814087,814
11,116,941,7.021570543210001,0.19804210335024539,803
12,126,931,6.8801128521764925,0.19336586410576057,793
13,137,920,6.762515602505693,0.18841350584106373,782
14,147,910,6.718406931769805,0.18421845971379766,772
15,158,899,6.661718520532245,0.17993843744689272,761
16,169,888,6.556054027550371,0.17598214727411965,750
17,179,878,6.419788151054772,0.17249883687474432,740
18,190,867,6.326326354579988,0.16873910868493372,729
19,200,857,6.243353982426325,0.1654616336369188,719
20,211,846,6.17631689668982,0.16194248953261395,708
21,221,836,6.125578309056259,0.15900449745779055,698
22,232,825,6.032058533674909,0.15600263905050704,687
23,243,814,5.9834718012652655,0.15315718314073867,676
24,253,804,5.937030994754205,0.15068506280464516,666
25,264,793,5.857386005639202,0.1481085138334849,655
26,274,783,5.772174975470565,0.14583352271955152,645
27,285,772,5.6590343965347545,0.1433238035192067,634
28,295,762,5.552593456733795,0.14101036975019868,624
29,306,751,5.436032073005935,0.13841766432323868,613
30,317,740,5.32301064532341,0.1357787546891208,602
31,327,730,5.228573663137881,0.13334001186324929,592
32,338,719,5.123464054610882,0.13061885640254706,581
33,348,709,5.031248637811721,0.12810536597414474,571
34,359,698,4.929202049028859,0.12528216838714765,560
35,369,688,4.843400783149398,0.12267698781949005,550
36,380,677,4.75292722722001,0.11977627183790451,539
37,391,666,4.665625429313183,0.11683273641907939,528
38,401,656,4.583965059014756,0.11412225967396239,518
39,412,645,4.51820027987476,0.11111309032878494,507
40,422,635,4.444593206050162,0.10834471384640627,497
41,433,624,4.380059872112804,0.10523901686720492,486
42,443,614,4.323235462652278,0.10236396531086675,476
43,454,603,4.254523777949956,0.09916669288613444,465
44,465,592,4.17287157592796,0.09592500748569864,454
45,475,582,4.085063960350779,0.09294452155821502,444
46,486,571,3.990770516048611,0.0896614639460797,433
47,496,561,3.9200292947475988,0.08667095681491861,423
48,507,550,3.8286012324636247,0.08338820774370634,412
49,517,540,3.7459398466647755,0.08047387022442151,402
50,528,529,3.647493543113709,0.07734005714100302,391
51,539,518,3.564579591566685,0.07430379974590474,380
52,549,508,3.512610439986914,0.07163587907246659,370
53,560,497,3.415369026984829,0.06889074817021934,359
54,570,487,3.336792797716944,0.06638942166072759,349
55,581,476,3.237800222893609,0.06362603608244558,338
56,591,466,3.158580780747098,0.061102657809343534,328
57,602,455,3.059737254951735,0.05842352889676823,317
58,613,444,2.9652284974475758,0.05576684773734017,306
59,623,434,2.8774559723511057,0.05338361598414413,296
60,634,423,2.7880405998093734,0.05076749620483467,285
61,644,413,2.6965321809897094,0.04838559811752798,275
62,655,402,2.602071450290752,0.04574079492806339,264
63,665,392,2.517612737091362,0.04331123614931584,254
64,676,381,2.429744093771461,0.040615147760361826,243
65,687,370,2.3253338565428354,0.03786192478063923,232
66,697,360,2.2323701484085903,0.03536175854626862,222
67,708,349,2.13594130164144,0.03261232713126135,211
68,718,339,2.068398604782541,0.030105226861751863,201
69,729,328,1.9860614757766513,0.027303452919472025,190
70,739,318,1.905300331543507,0.02472761631604522,180
71,750,307,1.8064395504640989,0.021914648811075337,169
72,761,296,1.7176051595323159,0.019019791020548307,158
73,771,286,1.6219801986641447,0.016360703711270887,148
74,782,275,1.5037027666966571,0.013361718471772071,137
75,792,265,1.3965084769195852,0.010543958855404913,127
76,803,254,1.280278803066239,0.00736528857948755,116
77,813,244,1.16637698234408,0.004418907550846926,106
78,824,233,1.0436410586436422,0.0011610774064089357,95
79,835,222,0.9167219381346449,-0.0022026926449267817,84
80,845,212,0.7968219290932519,-0.005314213317015717,74
