removed_pct,removed_n,remaining_n,fold_q025,fold_q25,fold_median,fold_q75,fold_q975
0,0,1057,8.910516510136349,8.910516510136365,8.910516510136372,8.910516510136377,8.910516510136388
1,10,1047,8.858231443370585,8.893564453901007,8.910490154234214,8.929557152137669,8.973392554540968
2,21,1036,8.841881498550414,8.884524876342846,8.914211311647502,8.94161718460939,8.992568533926619
3,31,1026,8.814388294195922,8.878525142655173,8.914029065564463,8.945329010312085,9.008758304524338
4,42,1015,8.802263158708605,8.872918152914988,8.91744076434216,8.953798074265707,9.027996144759186
5,52,1005,8.790109411698012,8.870262376967085,8.91154837232751,8.959996283171357,9.043286018026166
6,63,994,8.78741042880811,8.867418582938193,8.910097265505547,8.963654903536439,9.05673678651923
7,73,984,8.780018849571091,8.864876898362098,8.910271651060635,8.97049616013975,9.064598864493519
8,84,973,8.760120407003832,8.856038732996833,8.910557262138807,8.971415397034257,9.07987378142166
9,95,962,8.757703731985362,8.861719494126824,8.91337198038525,8.975065438955513,9.081769302511628
10,105,952,8.741752809566592,8.85556844395982,8.912205173643098,8.977224982212377,9.100395146872684
11,116,941,8.73059845620962,8.85290331961943,8.914497560952455,8.987407779084522,9.091980204649381
12,126,931,8.727262804419034,8.853030983099469,8.918332747176118,8.988020605532274,9.097101355313598
13,137,920,8.721696905103407,8.849361827921681,8.91923913623468,8.997369528560574,9.12197441721272
14,147,910,8.718139771525411,8.84638781221827,8.921558927328409,8.993196600885883,9.134380315751567
15,158,899,8.701769546318582,8.843424853115826,8.915800642102592,9.007383193384944,9.143656157027241
16,169,888,8.698244075041142,8.83980294809611,8.916573033976288,9.000622200025427,9.156727993933753
17,179,878,8.680276356060784,8.833067984377514,8.920312817229755,9.004078539062228,9.16118049912044
18,190,867,8.678760413748275,8.828533355434736,8.91727082520135,9.00974426649912,9.174819670408862
19,200,857,8.664699668540013,8.826510973504295,8.919899441861435,9.01559082597176,9.178867219643728
20,211,846,8.672622302550053,8.827413172605103,8.923816151578478,9.013766389558969,9.18695331348015
21,221,836,8.641955315129934,8.825825602469267,8.92356756229611,9.020237390589884,9.199529873148839
22,232,825,8.638184387489328,8.817941576632654,8.928778753670423,9.01854272733739,9.201179907145432
23,243,814,8.633191920812816,8.816737047262839,8.925103239490578,9.011814138741375,9.21424003448723
24,253,804,8.59996860499706,8.815184026949376,8.924327981514143,9.0266723825655,9.21902999371483
25,264,793,8.604849489442428,8.812056693063163,8.925858700368746,9.027402669762797,9.230009294627678
26,274,783,8.578616992164978,8.812191168803551,8.925616485347451,9.027157019594172,9.22962457304924
27,285,772,8.584631518120373,8.812742861622322,8.924718893971704,9.036898524294829,9.23443529881995
28,295,762,8.556144919644751,8.812957306631134,8.93161292871822,9.04178665827655,9.246558189754117
29,306,751,8.553373683988362,8.80320907290683,8.93175357927893,9.058296101567764,9.285101682845674
30,317,740,8.549458961120886,8.795829227127953,8.929015706401568,9.051738780308739,9.299501314339633
31,327,730,8.548582020700092,8.801485921933713,8.93022302069502,9.056935934768724,9.28363317227272
32,338,719,8.533557601850971,8.798516699445061,8.93089567791229,9.05482209998533,9.297910909673654
33,348,709,8.532386402553534,8.80449216619448,8.939076076515565,9.06089387307123,9.339805335219435
34,359,698,8.496155607024457,8.79843949565355,8.933998760304252,9.059001821888616,9.316721372010571
35,369,688,8.503974592887072,8.796037759010279,8.939396069509476,9.058549109995433,9.319113242841528
36,380,677,8.495623578275492,8.787732726420426,8.945752685663294,9.072121283727364,9.326607662844182
37,391,666,8.48379828250279,8.775170981687028,8.94698134188592,9.073217572563056,9.307152946560878
38,401,656,8.47537875075,8.788393100135606,8.945038731659421,9.077983918951006,9.315723846176063
39,412,645,8.454653882663024,8.790741834316002,8.934720369041603,9.075253670669365,9.33989262220975
40,422,635,8.45819980700643,8.771112512362691,8.931999508798127,9.088062561564636,9.33502313429228
41,433,624,8.460213704663511,8.757338851676685,8.933765756274067,9.087665481518478,9.324350437521574
42,443,614,8.441224274975507,8.759434803117937,8.934415933770065,9.096499634128143,9.337810287523482
43,454,603,8.445348756014571,8.76065585019368,8.928381046517368,9.101505163292389,9.338163126463794
44,465,592,8.407837052817403,8.757463401825644,8.944489870043759,9.09636197781159,9.352608054004014
45,475,582,8.399301101774197,8.742314919212822,8.928059181050205,9.103567138642504,9.343332110828484
46,486,571,8.384052361839084,8.746025446110233,8.93024864394101,9.109436143336634,9.348635796174328
47,496,561,8.391549741442487,8.738708107879578,8.926361722828052,9.113589369540211,9.386501868403219
48,507,550,8.366452237726694,8.727946177256197,8.926433222299767,9.1117022568085,9.386269377136644
49,517,540,8.369804597846578,8.709848433874841,8.921953553839417,9.09594651042784,9.385470202855153
50,528,529,8.37914402793632,8.701564172698435,8.90921683525114,9.091782003931659,9.422096099961475
51,539,518,8.330956420109215,8.709133976508141,8.902075003788035,9.108907881675101,9.450625636450287
52,549,508,8.317408058324114,8.712271808028115,8.896988632332231,9.115777458446802,9.438882241649173
53,560,497,8.329430287374567,8.70659935603745,8.911967114666655,9.10461753881958,9.453730121821067
54,570,487,8.303258112032566,8.70510300074171,8.906168656056673,9.113071523346754,9.45679239802747
55,581,476,8.298579964937373,8.686671873977655,8.90461241060251,9.121714553395446,9.481853856722658
56,591,466,8.312512466761813,8.693126158467944,8.901109477616721,9.123037528151649,9.482894546232775
57,602,455,8.271992024154361,8.677546906829935,8.888581325467857,9.117762608782343,9.482061573540058
58,613,444,8.25294154207519,8.659421451672221,8.885053135835943,9.130939108983428,9.47983018965893
59,623,434,8.236653327210995,8.678866962581097,8.891056537597057,9.117854585276222,9.511763448684643
60,634,423,8.239863422892931,8.667237226005053,8.891947533165656,9.11914433469516,9.57378430519446
61,644,413,8.196275811646858,8.659896598968187,8.904869689049267,9.123121271972845,9.554603220788408
62,655,402,8.184587215157567,8.6546777693429,8.913567204398152,9.142693782239071,9.571846399931427
63,665,392,8.159136421549746,8.65668689484358,8.897944024930926,9.141223820418254,9.595445507101665
64,676,381,8.11739934689738,8.65644780578861,8.901965091477223,9.128978209088984,9.610688287427479
65,687,370,8.113875376335,8.648250828700036,8.895071112121565,9.148324814248847,9.633497163836731
66,697,360,8.0968868180366,8.647304865522727,8.897975562823856,9.1533442684999,9.62904245391453
67,708,349,8.097827204444492,8.62147337522656,8.902057368785403,9.158604080977842,9.706433142832598
68,718,339,8.090230706375289,8.619325439345488,8.88731747172583,9.182337435399296,9.706072851712502
69,729,328,8.108229704438768,8.611393085520538,8.906740570557783,9.202980804626733,9.69653617815855
70,739,318,8.08161788133616,8.592405530993535,8.901099690565822,9.16819137491552,9.705219882981936
71,750,307,8.07297829642497,8.572019858060827,8.897592834430625,9.199504669189032,9.70171639247963
72,761,296,8.054220035874266,8.57739142918865,8.891755597757115,9.231527189834482,9.792906687603434
73,771,286,8.03686223244961,8.569642315919879,8.876984810252575,9.232496636906411,9.753051788125404
74,782,275,8.020434418840317,8.562867360213431,8.905188336306798,9.223433483773835,9.816323917141016
75,792,265,8.012616429234022,8.559823890772813,8.913543201710386,9.270976403294577,9.817719381160774
76,803,254,7.988635706775435,8.545373010160752,8.90256339753746,9.258278426351701,9.856268013621609
77,813,244,7.967390789790114,8.50372431565555,8.915849774501051,9.29170309388802,9.896165363877529
78,824,233,7.962023220805847,8.549318009674497,8.906629790102738,9.285571302374535,9.941402308044921
79,835,222,7.940345063983571,8.506997775848406,8.916591067525175,9.292359185268362,10.044273850131784
80,845,212,7.8290297161002425,8.520369503946403,8.890828973571171,9.286201222268856,10.093802033465376
