definition_id,core_gap,minimum_sites,final_gap,is_primary,regions,core_sites,region_bearing_proteins,median_span,maximum_span,fraction_validated_sites,primary_site_recall,variant_site_precision,site_jaccard,primary_interval_overlap
core3_min3_final8,3,3,8,False,676,2981,386,6.0,52,0.23865182931710832,0.7104385128693994,1.0,0.7104385128693994,0.7633495145631068
core3_min3_final10,3,3,10,False,657,2981,386,6.0,52,0.23865182931710832,0.7104385128693994,1.0,0.7104385128693994,0.7633495145631068
core3_min3_final12,3,3,12,False,649,2981,386,6.0,52,0.23865182931710832,0.7104385128693994,1.0,0.7104385128693994,0.7633495145631068
core4_min3_final8,4,3,8,False,775,3701,439,7.0,76,0.2962933311984629,0.8820305052430887,1.0,0.8820305052430887,0.8992718446601942
core4_min3_final10,4,3,10,False,758,3701,439,7.0,76,0.2962933311984629,0.8820305052430887,1.0,0.8820305052430887,0.8992718446601942
core4_min3_final12,4,3,12,False,746,3701,439,7.0,76,0.2962933311984629,0.8820305052430887,1.0,0.8820305052430887,0.8992718446601942
core5_min3_final8,5,3,8,False,847,4196,477,8.0,81,0.33592186374189414,1.0,1.0,1.0,1.0
core5_min3_final10,5,3,10,True,824,4196,477,8.0,81,0.33592186374189414,1.0,1.0,1.0,1.0
core5_min3_final12,5,3,12,False,813,4196,477,8.0,95,0.33592186374189414,1.0,1.0,1.0,1.0
core6_min3_final8,6,3,8,False,926,4632,517,9.0,162,0.37082699543671443,1.0,0.9058721934369602,0.9058721934369602,1.0
core6_min3_final10,6,3,10,False,899,4632,517,9.0,162,0.37082699543671443,1.0,0.9058721934369602,0.9058721934369602,1.0
core6_min3_final12,6,3,12,False,884,4632,517,9.0,223,0.37082699543671443,1.0,0.9058721934369602,0.9058721934369602,1.0
core7_min3_final8,7,3,8,False,986,4933,547,10.0,162,0.3949243455287807,1.0,0.8505980133792824,0.8505980133792824,1.0
core7_min3_final10,7,3,10,False,951,4933,547,10.0,162,0.3949243455287807,1.0,0.8505980133792824,0.8505980133792824,1.0
core7_min3_final12,7,3,12,False,930,4933,547,10.0,223,0.3949243455287807,1.0,0.8505980133792824,0.8505980133792824,1.0
core3_min4_final8,3,4,8,False,311,1757,189,7.0,52,0.14066127611880555,0.4187321258341277,1.0,0.4187321258341277,0.35558252427184467
core3_min4_final10,3,4,10,False,307,1757,189,7.0,52,0.14066127611880555,0.4187321258341277,1.0,0.4187321258341277,0.35558252427184467
core3_min4_final12,3,4,12,False,302,1757,189,7.0,52,0.14066127611880555,0.4187321258341277,1.0,0.4187321258341277,0.35558252427184467
core4_min4_final8,4,4,8,False,404,2453,245,10.0,76,0.19638139460411497,0.584604385128694,1.0,0.584604385128694,0.4720873786407767
core4_min4_final10,4,4,10,False,398,2453,245,10.0,76,0.19638139460411497,0.584604385128694,1.0,0.584604385128694,0.4720873786407767
core4_min4_final12,4,4,12,False,395,2453,245,10.0,76,0.19638139460411497,0.584604385128694,1.0,0.584604385128694,0.4720873786407767
core5_min4_final8,5,4,8,False,474,2969,282,11.0,81,0.23769113761908575,0.7075786463298379,1.0,0.7075786463298379,0.5606796116504854
core5_min4_final10,5,4,10,False,464,2969,282,11.0,81,0.23769113761908575,0.7075786463298379,1.0,0.7075786463298379,0.5606796116504854
core5_min4_final12,5,4,12,False,460,2969,282,11.0,95,0.23769113761908575,0.7075786463298379,1.0,0.7075786463298379,0.5606796116504854
core6_min4_final8,6,4,8,False,528,3372,311,12.0,162,0.26995436714434395,0.7490467111534795,0.9320877817319099,0.7102824858757062,0.6116504854368932
core6_min4_final10,6,4,10,False,517,3372,311,12.0,162,0.26995436714434395,0.7490467111534795,0.9320877817319099,0.7102824858757062,0.6116504854368932
