adjusted_composition_global_auroc,adjusted_composition_increment,adjusted_composition_increment_ci_high,adjusted_composition_increment_ci_low,adjusted_composition_increment_positive_fraction,adjusted_composition_within_protein_auroc,adjusted_composition_within_protein_ci_high,adjusted_composition_within_protein_ci_low,composition_global_auroc,composition_matched_auroc,composition_within_protein_auroc,composition_within_protein_ci_high,composition_within_protein_ci_low,core_gap,core_sites,covariates_global_auroc,covariates_within_protein_auroc,covariates_within_protein_ci_high,covariates_within_protein_ci_low,definition_id,final_gap,is_primary,minimum_sites,positive_tiles,region_bearing_proteins,regions,tiles,within_protein_count
0.8705740078365387,0.008257963535887702,0.01793330074113919,-0.001264057508545598,0.554945054945055,0.8571736899194826,0.8734322713039127,0.8404121840870836,0.8240018202251119,0.7390273179843734,0.7961267017830446,0.8159626969196397,0.7762042070201765,3,2981,0.8438099042719315,0.8489157263835949,0.8641183494244619,0.8325532799358897,core3_min3_final10,10,False,3,2267,386,657,40448,364
0.8699948003957068,0.010157867061800774,0.01958305872553339,0.0002586854161197248,0.5560859188544153,0.8560787383633999,0.8714182889036924,0.8403713546038281,0.8223651098915676,0.7446012571705996,0.7931250332022629,0.8117893232423443,0.773559010847684,4,3701,0.8373417825024073,0.8459208713015991,0.8604448075624509,0.830584826251007,core4_min3_final10,10,False,3,2747,439,758,46176,419
0.8681975795671052,0.013110502427874926,0.021134367645634113,0.004686894487529935,0.579295154185022,0.8569791121101692,0.8707927984593975,0.8422659336891798,0.8219988722110085,0.7453894398885004,0.792152662273436,0.809837671672341,0.7735059404794482,5,4196,0.8358814332399447,0.8438686096822943,0.8573913093218752,0.8297865733582156,core5_min3_final10,10,True,3,3102,477,824,49394,454
0.863483095918907,0.01703064926765374,0.025481055807459223,0.008335474275923073,0.5780933062880325,0.8517235564434342,0.8648858509142491,0.8373534563850729,0.8187441550963587,0.7453086136096696,0.7871136853665471,0.8047538279868144,0.7692154260884446,6,4632,0.8284506681245736,0.8346929071757805,0.8484735367435696,0.8202408050668175,core6_min3_final10,10,False,3,3476,517,899,53005,493
0.8565029234248253,0.01512040827412231,0.023512667471222524,0.00661712113123454,0.5454545454545454,0.8454310784897731,0.8588375977294797,0.8315625240796284,0.8103158366375192,0.7364775369639184,0.7776278336212613,0.7945687425592706,0.7603825032640661,7,4933,0.8211356941306676,0.8303106702156507,0.8441016080449417,0.8164407471129006,core7_min3_final10,10,False,3,3710,547,951,55873,517
0.8955867621564797,0.011720552595092637,0.020377718089632537,0.002827534940380263,0.5783783783783784,0.9060176159506371,0.9205908660411313,0.8908777776887823,0.8433313413463053,0.7404687963783074,0.8504983140328108,0.8693010611578819,0.8312893866094127,3,1757,0.879629901187219,0.8942970633555445,0.9092555328923639,0.8782788550481404,core3_min4_final10,10,False,4,1139,189,307,20717,185
0.8942570623261623,0.01817326317751744,0.026552392866156904,0.009865745791898054,0.575,0.8968702161702692,0.9102698382370209,0.8824485298620793,0.8443296583404006,0.7553337456098084,0.8425156151084541,0.8604993834966342,0.8237491238699448,4,2453,0.8671255247586062,0.8786969529927517,0.894306274834412,0.8623657054828814,core4_min4_final10,10,False,4,1571,245,398,26396,240
0.8946860047138833,0.02059321477563092,0.028496935603656754,0.012711303473408275,0.6057347670250897,0.8957111888293081,0.9081776127336937,0.8826691903689522,0.8457028985253252,0.7658251404915106,0.8341686889526742,0.8520716482080194,0.8156161879568912,5,2969,0.8623526571693223,0.8751179740536772,0.8900989324471755,0.8596891899537988,core5_min4_final10,10,False,4,1906,282,464,31244,279
0.8878674515410724,0.018398490212785057,0.027049315537232013,0.009949530641762131,0.5941558441558441,0.8857162036110846,0.8981020432300607,0.8730343981864618,0.8413785854671602,0.7580268855708374,0.8216093168726387,0.8392436252023097,0.8029874057629435,6,3372,0.8537720273805451,0.8673177133982996,0.8817397695702602,0.8520977650625214,core6_min4_final10,10,False,4,2197,311,517,35217,308
0.8812269127904181,0.016329622416365153,0.025102082271355255,0.007358506834561776,0.6086956521739131,0.8812090219086829,0.8932776925328275,0.8684333176537209,0.8306990475898903,0.7498771626934868,0.815656297226068,0.8329111180977438,0.79787967035034,7,3643,0.8494891720407,0.8648793994923177,0.8785005474918348,0.8509795194693327,core7_min4_final10,10,False,4,2393,325,552,37063,322
