accession,within_protein_auroc
A0AVK6,0.8846153846153847
A3KN83,0.9909560723514211
A5YKK6,0.97503671071953
A6NF01,0.7466666666666666
A8CG34,0.7601799242424243
O00151,1.0
O00268,0.963651732882502
O00712,0.9393939393939394
O14497,0.9990867579908677
O14519,1.0
O14639,0.927536231884058
O14964,0.8323529411764706
O14974,0.9166666666666666
O15014,0.4473684210526316
O15027,0.8392070484581498
O15047,0.9703504043126685
O15164,0.984375
O15460,0.6277777777777778
O15550,0.786967418546366
O43312,0.5637254901960784
O43395,0.9890710382513661
O43432,0.9395973154362416
O43615,0.8716216216216216
O43670,0.9865591397849462
O43823,0.9426229508196722
O60318,0.9157894736842105
O60488,0.8333333333333333
O60610,0.8949579831932772
O60664,0.41129032258064513
O60675,1.0
O60841,0.7068965517241379
O60885,0.96875
O75030,0.8522727272727273
O75116,0.910941475826972
O75157,0.8043478260869565
O75170,0.9573863636363636
O75179,0.9404129793510324
O75376,0.8390654205607477
O75717,0.9009708737864077
O75909,0.9533333333333334
O76070,0.8
O94811,1.0
O94842,0.9971988795518207
O94913,0.9931972789115646
O95081,0.98125
O95292,0.9411764705882353
O95425,0.9448356807511736
O95486,0.986
O95487,0.90404984423676
O95628,0.8305555555555555
O95817,0.923469387755102
O95835,1.0
P02545,0.9970238095238094
P04150,0.891304347826087
P04792,0.8214285714285714
P05556,0.5140845070422535
P05783,1.0
P05787,0.953168044077135
P06401,0.8823529411764706
P06748,0.9242424242424242
P07196,0.9702380952380952
P07197,0.9801587301587301
P07339,0.34090909090909094
P08047,0.7857142857142857
P08235,0.945054945054945
P08651,0.9194139194139195
P08670,1.0
P09651,1.0
P0C7T5,0.8616071428571428
P0CG13,0.39999999999999997
P10070,0.9757174392935983
P11117,0.8382352941176471
P11279,0.728448275862069
P11717,0.9346473029045643
P11940,0.7727272727272727
P12270,0.948377581120944
P12757,0.7103825136612022
P13796,0.9907407407407408
P14859,0.6212121212121212
P15336,0.7261904761904763
P15586,0.7847222222222222
P15822,0.712962962962963
P17275,0.8552036199095022
P17535,0.6666666666666666
P18146,0.9432624113475176
P18583,0.9687943262411347
P18846,0.8222222222222223
P20823,0.9532967032967032
P22681,0.9134615384615384
P23246,0.8253968253968255
P23588,0.919811320754717
P27540,0.9750000000000001
P27816,0.9626168224299065
P28347,0.9779411764705882
P28356,0.9880952380952381
P29372,1.0
P30533,0.8928571428571428
P30622,0.974025974025974
P31270,0.7282608695652174
P31629,0.7882254464285714
P32243,0.9365079365079365
P32519,0.7469135802469136
P33076,0.926984126984127
P35611,0.7323232323232323
P35613,0.8416666666666668
P35658,0.8503134796238244
P37198,0.990234375
P38606,0.6913580246913581
P39880,0.9390070921985816
P40425,0.8602941176470589
P40763,0.9411764705882352
P41236,1.0
P42166,0.9672131147540983
P43155,0.8606060606060606
P43243,0.9960861056751467
P43308,0.85
P46013,0.9471608832807571
P46100,0.8025210084033613
P46977,0.21370967741935487
P47985,0.6842105263157895
P48431,0.9239130434782609
P48634,0.5737179487179487
P49321,0.9445628997867803
P49336,0.986842105263158
P49750,0.9746657283603096
P49756,0.9134199134199136
P49790,0.5944170771756979
P49792,0.8057046979865772
P49848,0.8905660377358491
P49916,0.9483695652173914
P50402,0.7980769230769231
P51610,0.93421926910299
P51826,0.8492753623188406
P51991,1.0
P52594,0.7725563909774436
P52948,0.8920258620689656
P53814,0.966867469879518
P53992,0.5392156862745098
P54253,0.886986301369863
P54727,0.8193548387096775
P55197,0.7894736842105263
P55198,0.8452611218568665
P55265,0.8176991150442479
P55317,0.2692307692307692
P56715,0.8164251207729468
P57740,0.9725490196078431
P61769,0.75
P63261,0.7931034482758621
P68400,1.0
P78364,0.6929347826086957
P78406,0.9833333333333334
P78559,0.9670329670329669
P82979,0.6666666666666667
P85037,0.8260188087774294
P98082,0.7004830917874395
P98171,0.875
Q00535,0.7878787878787878
Q00839,0.9763513513513514
Q01082,0.9824561403508772
Q01167,0.7061403508771931
Q01196,0.9662162162162162
Q01664,1.0
Q02505,0.594496855345912
Q02818,1.0
Q03164,0.9071656512909776
Q04637,0.9411196911196911
Q04726,0.9420289855072463
Q04727,0.9927536231884058
Q05209,0.9761904761904763
Q07020,0.3
Q07157,0.9421157684630739
Q07666,0.9736842105263158
Q07912,0.9947368421052631
Q09666,0.8167863332508046
Q12830,0.9750110570544007
Q12857,0.9583333333333334
Q12888,0.9789473684210527
Q12948,0.9513888888888888
Q12955,0.960955710955711
Q13243,0.881578947368421
Q13330,0.9166666666666666
Q13443,0.9054054054054054
Q13474,0.8620689655172414
Q13485,0.6702127659574468
Q13492,0.8622448979591836
Q13495,0.7904761904761903
Q13554,1.0
Q13576,0.9800000000000001
Q13620,0.9317073170731707
Q13952,0.9256756756756757
Q14004,0.493006993006993
Q14119,0.9315789473684211
Q14145,0.8564814814814815
Q14157,0.7102040816326531
Q14161,0.9925373134328358
Q14247,0.9945652173913043
Q14444,0.9606557377049181
Q14671,0.9816513761467891
Q14676,0.96375
Q14677,0.8981481481481481
Q14684,0.9927536231884059
Q14686,0.8848784194528875
Q14814,0.746875
Q14966,0.9531914893617022
Q14980,0.9966832504145937
Q15042,0.8901098901098902
Q15058,0.9915074309978769
Q15154,0.6205128205128205
Q15437,0.5661764705882353
Q15459,0.971830985915493
Q15637,0.9666666666666667
Q15648,0.7247652582159625
Q15652,0.937117903930131
Q15654,1.0
Q15691,0.9473684210526316
Q15723,0.9323671497584541
Q15750,0.9658536585365853
Q15788,0.5328467153284672
Q15942,0.85
Q16186,0.9935483870967742
Q16204,1.0
Q16555,0.9489795918367347
Q16594,0.9821428571428572
Q17RS7,0.8634538152610441
Q2KHR3,0.7788815305371597
Q2M2I8,0.5568181818181819
Q2NL68,0.7333333333333334
Q2TAL8,0.6857142857142857
Q4KMP7,0.9730848861283644
Q4LDE5,0.8703438395415473
Q53ET0,0.7622950819672131
Q5BJH7,0.9166666666666667
Q5H9F3,0.8719512195121951
Q5JSZ5,0.8571428571428572
Q5SW79,0.6732891832229582
Q5T0B9,0.9772727272727273
Q5T3F8,0.5833333333333333
Q5T6F2,0.7359924026590694
Q5T8P6,0.9956043956043956
Q5VT52,0.9276315789473685
Q5VUA4,0.8644688644688645
Q5VWN6,0.8972826086956521
Q5VYK3,0.8991477272727273
Q68CP9,0.8317099567099566
Q6AI39,0.9387755102040817
Q6KC79,0.9984067976633032
Q6MZP7,0.8795289855072463
Q6N021,0.5872395833333334
Q6N043,0.8623595505617978
Q6NXT4,0.7435897435897436
Q6P3W7,0.9910714285714285
Q6P4R8,0.922266139657444
Q6PCB5,1.0
Q6PJG2,0.8172043010752689
Q6PJT7,0.9410526315789474
Q6PKG0,0.9509803921568627
Q6Q0C0,0.9741379310344828
Q6UN15,0.8590425531914894
Q6UUV7,0.8555555555555556
Q6UVJ0,0.9342105263157895
Q6VMQ6,0.9202861522738885
Q6W2J9,0.9505988023952096
Q6ZN30,0.9901960784313725
Q6ZRI6,1.0
Q6ZRS2,0.8641067538126361
Q6ZSR9,1.0
Q6ZU65,0.9186507936507936
Q71RG4,0.8266666666666667
Q7KZ85,0.9696969696969697
Q7L592,0.8055555555555556
Q7LBC6,0.9254958877600388
Q7Z2W4,0.8140243902439024
Q7Z3B4,0.988095238095238
Q7Z3K3,0.9364406779661016
Q7Z417,0.9766666666666667
Q7Z434,0.8840579710144927
Q7Z589,0.8435374149659863
Q7Z5J4,0.9396067415730338
Q7Z5L9,0.8342391304347826
Q7Z6B7,0.8524999999999999
Q7Z6J0,0.9544303797468354
Q7Z6Z7,0.9317829457364342
Q7Z739,0.9236111111111112
Q86TC9,0.9474921630094044
Q86U42,0.9855072463768116
Q86UE4,0.8169934640522877
Q86UU0,0.9694835680751174
Q86V15,0.8562874251497006
Q86V40,1.0
Q86XN7,0.8081395348837209
Q86XP3,0.9147058823529411
Q86Y37,1.0
Q86YP4,0.9075757575757576
Q8IVF2,0.9229422066549913
Q8IVH2,0.8347457627118644
Q8IVL0,0.5598845598845599
Q8IVL1,0.9510416666666667
Q8IVW6,0.65625
Q8IWB9,0.9786407766990292
Q8IWI9,0.9383503401360543
Q8IWZ3,0.9788251366120219
Q8IWZ8,0.9636363636363636
Q8IX12,0.9112343966712899
Q8IY33,0.8990384615384616
Q8IZ21,0.9868852459016393
Q8IZH2,0.9691358024691359
Q8N1F7,0.9417808219178082
