model,negative_quantile,precision,tile_recall,n_predicted,region_hit,region_total,region_recall
baseline,0.9,0.07269794808996147,0.7615769712140176,33481,708,824,0.8592233009708737
baseline,0.95,0.11276825866681847,0.619837296620776,17567,618,824,0.75
baseline,0.98,0.18057203110583894,0.4286608260325407,7587,481,824,0.5837378640776699
baseline,0.99,0.23202534730684865,0.2978723404255319,4103,374,824,0.4538834951456311
baseline,0.995,0.3017937219730942,0.21057571964956195,2230,281,824,0.34101941747572817
enhanced,0.9,0.07483112042860471,0.8041301627033792,34344,713,824,0.8652912621359223
enhanced,0.95,0.11752824935858944,0.6736545682102628,18319,649,824,0.787621359223301
enhanced,0.98,0.1865671641791045,0.47715894868585734,8174,504,824,0.6116504854368932
enhanced,0.99,0.250055617352614,0.35168961201501875,4495,407,824,0.49393203883495146
enhanced,0.995,0.3172217709179529,0.24436795994993743,2462,305,824,0.37014563106796117
selected,0.9,0.07483112042860471,0.8041301627033792,34344,713,824,0.8652912621359223
selected,0.95,0.11752824935858944,0.6736545682102628,18319,649,824,0.787621359223301
selected,0.98,0.1865671641791045,0.47715894868585734,8174,504,824,0.6116504854368932
selected,0.99,0.250055617352614,0.35168961201501875,4495,407,824,0.49393203883495146
selected,0.995,0.3172217709179529,0.24436795994993743,2462,305,824,0.37014563106796117
