universe,radius,contrast,mean_effect_difference,bootstrap_ci_low,bootstrap_ci_high,sign_flip_p_two_sided,n_common_proteins,n_permutations,global_bh_q,primary_holm_p
all_eligible_residues,5,oglcnac_minus_acetylation,0.13418895277397366,0.11971724401957806,0.1489154489334855,4.999750012499375e-05,674,20000,4.999750012499375e-05,
all_eligible_residues,5,oglcnac_minus_phospho,0.16189172033317373,0.14877855562553413,0.17518841625662313,4.999750012499375e-05,1022,20000,4.999750012499375e-05,
all_eligible_residues,5,oglcnac_minus_ubiquitination,0.17931518178699393,0.16239810104206542,0.1966357096007172,4.999750012499375e-05,639,20000,4.999750012499375e-05,
all_eligible_residues,10,oglcnac_minus_acetylation,0.19219701391225963,0.17335740185025147,0.21150960186773263,4.999750012499375e-05,674,20000,4.999750012499375e-05,0.00014999250037498125
all_eligible_residues,10,oglcnac_minus_phospho,0.22673694554933627,0.21083056816549525,0.24272893335657772,4.999750012499375e-05,1022,20000,4.999750012499375e-05,0.00014999250037498125
all_eligible_residues,10,oglcnac_minus_ubiquitination,0.2410759667977524,0.2200168780732077,0.2627127534594318,4.999750012499375e-05,639,20000,4.999750012499375e-05,0.00014999250037498125
all_eligible_residues,15,oglcnac_minus_acetylation,0.2186474436530032,0.19743653266337735,0.24036146798854438,4.999750012499375e-05,674,20000,4.999750012499375e-05,
all_eligible_residues,15,oglcnac_minus_phospho,0.25250736124315126,0.2354520161463049,0.2697897377278498,4.999750012499375e-05,1022,20000,4.999750012499375e-05,
all_eligible_residues,15,oglcnac_minus_ubiquitination,0.26478617175947555,0.24193202059001495,0.2880405082273429,4.999750012499375e-05,639,20000,4.999750012499375e-05,
all_eligible_residues,20,oglcnac_minus_acetylation,0.22877418455712056,0.2067841044871623,0.2510305811780644,4.999750012499375e-05,674,20000,4.999750012499375e-05,
all_eligible_residues,20,oglcnac_minus_phospho,0.25962621474769987,0.24176894329692564,0.27768677519051765,4.999750012499375e-05,1022,20000,4.999750012499375e-05,
all_eligible_residues,20,oglcnac_minus_ubiquitination,0.26794915945171977,0.244377326505921,0.29146389594961475,4.999750012499375e-05,639,20000,4.999750012499375e-05,
all_eligible_residues,25,oglcnac_minus_acetylation,0.23187577783530441,0.20949965269265178,0.25488568560917224,4.999750012499375e-05,674,20000,4.999750012499375e-05,
all_eligible_residues,25,oglcnac_minus_phospho,0.2607545735948252,0.2431592831312855,0.27847889598460895,4.999750012499375e-05,1022,20000,4.999750012499375e-05,
all_eligible_residues,25,oglcnac_minus_ubiquitination,0.26828205328296284,0.24435044530158112,0.29177917906508094,4.999750012499375e-05,639,20000,4.999750012499375e-05,
all_eligible_residues,30,oglcnac_minus_acetylation,0.23354407596973212,0.21057314445707034,0.2571178864570642,4.999750012499375e-05,674,20000,4.999750012499375e-05,
all_eligible_residues,30,oglcnac_minus_phospho,0.26326260850562866,0.24524122277696123,0.281393428212396,4.999750012499375e-05,1022,20000,4.999750012499375e-05,
all_eligible_residues,30,oglcnac_minus_ubiquitination,0.26688672114870915,0.243319098278198,0.2911794582212137,4.999750012499375e-05,639,20000,4.999750012499375e-05,
observed_residue_union,5,oglcnac_minus_acetylation,0.12530308112907312,0.11029088625899638,0.1407626678630554,4.999750012499375e-05,518,20000,4.999750012499375e-05,
observed_residue_union,5,oglcnac_minus_phospho,0.1573876762750203,0.14406906183353999,0.17111019193182075,4.999750012499375e-05,959,20000,4.999750012499375e-05,
observed_residue_union,5,oglcnac_minus_ubiquitination,0.15136429448574046,0.1344744608834547,0.16895805102694914,4.999750012499375e-05,507,20000,4.999750012499375e-05,
observed_residue_union,10,oglcnac_minus_acetylation,0.17975851101194562,0.1604712345788709,0.1996246910764843,4.999750012499375e-05,518,20000,4.999750012499375e-05,
observed_residue_union,10,oglcnac_minus_phospho,0.22137923305149018,0.2050284971550718,0.23809572637203658,4.999750012499375e-05,959,20000,4.999750012499375e-05,
observed_residue_union,10,oglcnac_minus_ubiquitination,0.20337269860429102,0.182105621818687,0.22550186052377189,4.999750012499375e-05,507,20000,4.999750012499375e-05,
observed_residue_union,15,oglcnac_minus_acetylation,0.20301324524669684,0.18144525980363174,0.2247758318561551,4.999750012499375e-05,518,20000,4.999750012499375e-05,
observed_residue_union,15,oglcnac_minus_phospho,0.24566834567468324,0.22831838054795917,0.2635326314213654,4.999750012499375e-05,959,20000,4.999750012499375e-05,
observed_residue_union,15,oglcnac_minus_ubiquitination,0.22461849927265148,0.20154552710673132,0.2481925591972804,4.999750012499375e-05,507,20000,4.999750012499375e-05,
observed_residue_union,20,oglcnac_minus_acetylation,0.21452549489958272,0.19191796637070124,0.23711005935895688,4.999750012499375e-05,518,20000,4.999750012499375e-05,
observed_residue_union,20,oglcnac_minus_phospho,0.2527960665367886,0.2350528775309023,0.2707626490076981,4.999750012499375e-05,959,20000,4.999750012499375e-05,
observed_residue_union,20,oglcnac_minus_ubiquitination,0.22616208377992192,0.2023612566179201,0.2505148830926762,4.999750012499375e-05,507,20000,4.999750012499375e-05,
observed_residue_union,25,oglcnac_minus_acetylation,0.2154960274264019,0.19231726143226482,0.2390767804655755,4.999750012499375e-05,518,20000,4.999750012499375e-05,
observed_residue_union,25,oglcnac_minus_phospho,0.254144877090332,0.23596958715507024,0.2725228301658071,4.999750012499375e-05,959,20000,4.999750012499375e-05,
observed_residue_union,25,oglcnac_minus_ubiquitination,0.2290480213187257,0.20513856373453462,0.2529498524416417,4.999750012499375e-05,507,20000,4.999750012499375e-05,
observed_residue_union,30,oglcnac_minus_acetylation,0.21500081934393875,0.1917098064233303,0.23861019292494481,4.999750012499375e-05,518,20000,4.999750012499375e-05,
