universe,radius,contrast,oglcnac_fold,control_fold,fold_ratio,bootstrap_ci_low,bootstrap_ci_high,n_common_proteins,n_bootstrap,resampling_unit,estimand
all_eligible_residues,5,oglcnac_over_acetylation,10.220845796588932,2.374675531053243,4.304102039597665,3.7023111626336074,5.049878942528147,674,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,5,oglcnac_over_phospho,11.823096573504314,2.47370927746074,4.779501245854044,4.402334404993703,5.178748727028228,1022,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,5,oglcnac_over_ubiquitination,11.591427159716384,1.3994374764090165,8.282918926439079,6.992791196720605,9.89878559825248,639,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,10,oglcnac_over_acetylation,8.12019060398348,2.2151356614557907,3.665775755985472,3.264002163653855,4.129825989841479,674,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,10,oglcnac_over_phospho,9.025442398841923,2.215616582058569,4.073557885388374,3.804939256935024,4.351365689493216,1022,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,10,oglcnac_over_ubiquitination,8.831710276281337,1.5983613227793925,5.525477969476804,4.882892819721936,6.263859874816126,639,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,15,oglcnac_over_acetylation,6.571981398896786,1.9910418503443643,3.300775118192577,2.979332524294704,3.6624011092676096,674,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,15,oglcnac_over_phospho,7.203201164999586,2.0311285012724736,3.5464034700349494,3.3254722969938935,3.779675957249143,1022,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,15,oglcnac_over_ubiquitination,7.0709021493384085,1.6272357160693467,4.3453459627953945,3.9110531536637927,4.827226018153451,639,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,20,oglcnac_over_acetylation,5.482748245135334,1.8162076319609308,3.018789343603681,2.7489200564797454,3.3158017189167683,674,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,20,oglcnac_over_phospho,5.946357325505652,1.8739162187221958,3.173224750442905,2.9892677040092455,3.365891264912457,1022,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,20,oglcnac_over_ubiquitination,5.827863777936406,1.6053712627176044,3.630228043369159,3.300981529464371,3.9879880643196155,639,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,25,oglcnac_over_acetylation,4.70491023044502,1.703721357627704,2.7615491285477765,2.534410180487202,3.0131603409433785,674,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,25,oglcnac_over_phospho,5.082214705323974,1.762225420077871,2.8839753685424623,2.7264181602482234,3.048176434918784,1022,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,25,oglcnac_over_ubiquitination,4.95524519418618,1.5415898561779378,3.214373248713321,2.945829251016068,3.512481214456067,639,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,30,oglcnac_over_acetylation,4.142080840830822,1.5909213263087931,2.6035736477561406,2.3973882940119764,2.8281053427691574,674,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,30,oglcnac_over_phospho,4.5008576840696985,1.6680093410028984,2.698340814664465,2.5580846649291624,2.843341870177893,1022,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
all_eligible_residues,30,oglcnac_over_ubiquitination,4.361575866797328,1.49227402824586,2.92277141077385,2.6902963268112297,3.1735561447528022,639,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,5,oglcnac_over_acetylation,5.096143877818558,1.7393033286357895,2.929991447676745,2.514573681459049,3.450587125472371,518,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
observed_residue_union,5,oglcnac_over_phospho,4.779204987024814,1.0159019900749435,4.704395732773641,4.313865812123236,5.120352463589419,959,20000,matched_protein,ratio_of_equal_protein_mean_fold_enrichments
