universe,ptm,radius,n_proteins,n_sites,mean_observed_close_pair_fraction,mean_null_close_pair_fraction,mean_effect,fold_of_equal_protein_means,population_ci_low,population_ci_high,population_t_p_greater,population_log10_p_greater,exact_selection_null_se,exact_selection_z,exact_selection_p_greater,exact_selection_log10_p_greater,weighting,global_bh_q_population,global_bh_q_exact_null,primary_holm_p_population,primary_holm_p_exact_null
all_eligible_residues,acetylation,5,4106,33739,0.07276812704882335,0.028995394825362248,0.043772732223461085,2.50964428962261,0.03977959562591806,0.04776586882100411,1.7637058531939969e-97,-96.75357384379986,0.0009312745680269531,47.00303618963876,0.0,-481.8116436844797,equal_protein,2.9192372742521324e-97,0.0,,
all_eligible_residues,oglcnac,5,1057,9283,0.20955748398702478,0.018114481280495854,0.1914430027065289,11.568505923084787,0.17801744755248972,0.20486855786056807,1.2067155081109213e-129,-128.9183951058933,0.0016965962394532277,112.83945953353425,0.0,-2767.3317335588454,equal_protein,2.2277824765124702e-129,0.0,,
all_eligible_residues,phospho,5,12404,177045,0.09448650780322125,0.025173959329884504,0.0693125484733367,3.753343149762479,0.0671350848325592,0.07149001211411421,0.0,-inf,0.0004559619136250271,152.01389941164646,0.0,-5020.468427465971,equal_protein,0.0,0.0,,
all_eligible_residues,ubiquitination,5,5613,57754,0.05050061399203455,0.03136889493495131,0.019131719057083215,1.6098945817745918,0.016794363724997704,0.021469074389168726,5.462316420234337e-57,-56.262623145722934,0.0007673656110615905,24.93168677524651,1.6870383928577637e-137,-136.77287503382072,equal_protein,7.491176804892805e-57,2.381701260505078e-137,,
all_eligible_residues,acetylation,10,4106,33739,0.1345586769054961,0.05622647209039652,0.07833220481509959,2.3931552505937628,0.07285603131745631,0.08380837831274286,8.762549555843016e-159,-158.05736951290334,0.0012729707470953702,61.5349606374191,0.0,-824.4275115090528,equal_protein,2.103011893402324e-158,0.0,1.7525099111686032e-158,0.0
all_eligible_residues,oglcnac,10,1057,9283,0.3092006434647377,0.03470064200128008,0.2745000014634576,8.91051651013637,0.2582342427230402,0.290765760203875,8.517331468286832e-166,-165.06969645102302,0.002317017437813609,118.47127129197703,0.0,-3050.2302661482227,equal_protein,2.271288391543155e-165,0.0,2.5551994404860494e-165,0.0
all_eligible_residues,phospho,10,12404,177045,0.15002885002152228,0.04882882717295008,0.10120002284857214,3.07254666367728,0.09836065698968405,0.10403938870746024,0.0,-inf,0.0006227690684974589,162.50007903047464,0.0,-5736.659868742114,equal_protein,0.0,0.0,0.0,0.0
all_eligible_residues,ubiquitination,10,5613,57754,0.10009764130153978,0.06010203287313826,0.039995608428401504,1.6654618241087313,0.03675340483976244,0.04323781201704057,2.7228357502738353e-123,-122.5649785558327,0.0010349680506749218,38.64429283814088,0.0,-326.27010958444987,equal_protein,4.840596889375707e-123,0.0,2.7228357502738353e-123,0.0
all_eligible_residues,acetylation,15,4106,33739,0.17681447506785716,0.08188613090717962,0.0949283441606775,2.159272554570708,0.08880839448490352,0.10104829383645147,1.131612298101984e-183,-182.9463023413769,0.0014994433237632578,63.309057872510444,0.0,-872.5347987160698,equal_protein,3.394836894305952e-183,0.0,,
all_eligible_residues,oglcnac,15,1057,9283,0.3616679770927621,0.050829831355924206,0.3108381457368378,7.115270057857663,0.29331166386352536,0.3283646276101503,1.0794924084803375e-177,-176.96678040749063,0.0027680107177825504,112.2965831526295,0.0,-2740.7896777978463,equal_protein,3.0479785651209527e-177,0.0,,
