kinase,cluster_mean_percentile,control_mean_percentile,delta,family,n_pairs
ALK1,39.4140834355829,47.42870674846639,-8.014623312883487,TKL,4075
DSTYK,44.53306993865044,52.28696196319032,-7.75389202453988,TKL,4075
CAMK2G,29.09965153374237,36.03232147239266,-6.932669938650289,CAMK,4075
COT,41.16121226993865,48.01489815950931,-6.853685889570656,STE,4075
PLK1,46.6218208588959,53.40838527607362,-6.786564417177722,Other,4075
PLK3,42.529764417177894,49.13395337423314,-6.604188957055243,Other,4075
CK1G3,38.24921963190179,44.73993374233129,-6.490714110429501,CK1,4075
DRAK1,43.00443680981595,49.46539631901848,-6.460959509202532,CAMK,4075
GRK6,36.68079509202455,42.876341104294525,-6.195546012269972,AGC,4075
CK2A2,32.7408319018404,38.82615705521471,-6.085325153374306,Other,4075
ALK2,42.223774233128815,48.25905521472384,-6.035280981595022,TKL,4075
PLK2,44.97466012269933,50.964279754601364,-5.9896196319020305,Other,4075
BMPR2,48.48404662576704,54.43086871165635,-5.946822085889309,TKL,4075
CK2A1,33.6472957055216,39.507577914110364,-5.860282208588764,Other,4075
MLK4,53.562868711656435,59.396368098159606,-5.833499386503171,TKL,4075
MEKK3,52.659322699386536,58.396068711656575,-5.736746012270039,STE,4075
FAM20C,35.69019141104288,41.21896196319031,-5.528770552147428,FAM20,4075
YSK4,55.6237668711656,61.084588957055225,-5.460822085889625,STE,4075
NEK8,58.2458306748467,63.68411779141095,-5.438287116564247,Other,4075
ALK7,32.41000490797551,37.8390085889572,-5.429003680981687,TKL,4075
ATM,34.00025521472395,39.352628220858875,-5.3523730061349255,PIKK,4075
GRK2,33.89333742331289,39.13245398773024,-5.239116564417344,AGC,4075
GRK7,39.677710429447934,44.890417177913974,-5.21270674846604,AGC,4075
BMPR1A,42.53255214723938,47.73517300613489,-5.202620858895514,TKL,4075
GRK5,40.40402944785279,45.580596319018426,-5.176566871165633,AGC,4075
GCN2,46.43328343558276,51.57362944785255,-5.140346012269788,Other,4075
BMPR1B,40.859374233128946,45.99266993865042,-5.133295705521476,TKL,4075
MST2,59.97414723926373,64.95684907975473,-4.9827018404910035,STE,4075
NEK7,50.83483435582831,55.80369325153366,-4.9688588957053454,Other,4075
ANKRD3,55.002434355828356,59.781828220859,-4.779393865030642,TKL,4075
PINK1,39.832532515337334,44.53761717791412,-4.7050846625767875,Other,4075
BRAF,52.62944785276064,57.31925153374211,-4.68980368098147,TKL,4075
RAF1,43.16227975460116,47.753960736196326,-4.591680981595168,TKL,4075
GRK4,42.142741104294615,46.685597546012225,-4.5428564417176105,AGC,4075
CK1G2,42.06308957055222,46.56634846625779,-4.503258895705571,CK1,4075
PKCD,43.78243190184051,48.27543558282206,-4.493003680981552,AGC,4075
NEK6,47.17480490797532,51.65193619631893,-4.477131288343607,Other,4075
ULK1,52.51631165644172,56.79847607361934,-4.2821644171776185,Other,4075
CAMK2B,36.61000981595094,40.89020858895705,-4.280198773006113,CAMK,4075
PIM1,31.736056441717825,35.91199754601225,-4.175941104294427,CAMK,4075
GRK3,36.8846404907975,41.02017423312898,-4.135533742331475,AGC,4075
ACVR2A,47.814144785276,51.92941840490801,-4.115273619632013,TKL,4075
MOS,33.07780122699388,37.18752392638041,-4.109722699386531,Other,4075
ACVR2B,48.57388466257688,52.502225766871014,-3.928341104294134,TKL,4075
HUNK,47.95581595092017,51.82724907975454,-3.8714331288343686,CAMK,4075
PKR,56.688598773006134,60.54216441717808,-3.853565644171944,Other,4075
YANK3,43.58062331288348,47.43289325153378,-3.852269938650295,AGC,4075
GRK1,38.25777423312883,42.05403926380369,-3.79626503067486,AGC,4075
ULK2,57.308584049079535,60.931766871165514,-3.6231828220859796,Other,4075
AURA,39.37606380368096,42.99296932515343,-3.616905521472475,Other,4075
CAMK1G,44.6426944785276,48.20898895705509,-3.566294478527489,CAMK,4075
ALPHAK3,51.398544785275995,54.95552883435566,-3.5569840490796665,Alpha,4075
YANK2,53.3830674846626,56.936728834355726,-3.5536613496931295,AGC,4075
TAO3,48.15315828220867,51.70390920245402,-3.550750920245349,STE,4075
MST4,41.92053496932513,45.431241717791586,-3.510706748466454,STE,4075
MLK1,58.08149693251538,61.52442944785276,-3.4429325153373824,TKL,4075
OSR1,58.82601717791407,62.265923926380324,-3.4399067484662567,STE,4075
ZAK,60.05564417177905,63.465759509202336,-3.410115337423285,TKL,4075
TTK,61.723784049079754,65.06032147239281,-3.336537423313061,Other,4075
NIK,46.23070184049082,49.411121472392516,-3.1804196319016924,STE,4075
GCK,55.04731533742333,58.2158969325152,-3.1685815950918723,STE,4075
DLK,50.428046625766825,53.58868957055216,-3.1606429447853372,TKL,4075
PERK,61.358679754601255,64.41413496932527,-3.05545521472402,Other,4075
IRE2,56.324041717791395,59.37660613496929,-3.052564417177898,Other,4075
TLK1,54.85873619631895,57.891710429447734,-3.0329742331287832,Other,4075
MEKK1,61.6718036809816,64.57026993865027,-2.898466257668673,STE,4075
HRI,60.79128098159519,63.688444171779146,-2.897163190183953,Other,4075
PIM3,38.08051042944799,40.944775460122656,-2.864265030674666,CAMK,4075
IKKB,42.08802944785283,44.89926380368107,-2.8112343558282404,Other,4075
TGFBR2,48.987204907975446,51.79153865030672,-2.8043337423312735,TKL,4075
GAK,53.951516564416984,56.72069938650319,-2.769182822086208,Other,4075
RIPK2,57.831948466257494,60.56872883435585,-2.7367803680983585,TKL,4075
SLK,51.8729104294478,54.59931042944779,-2.726399999999991,STE,4075
CAMKK1,66.01915092024545,68.71105030674838,-2.691899386502925,Other,4075
MSK2,40.725683435582816,43.40650552147246,-2.6808220858896448,AGC,4075
RSK4,35.87518282208594,38.492282208588925,-2.6170993865029857,AGC,4075
CK1D,42.62865766871175,45.2315877300613,-2.6029300613495465,CK1,4075
BCKDK,42.49262331288338,45.069936196318814,-2.5773128834354324,PDHK,4075
PKCB,50.087418404907964,52.581575460122714,-2.4941570552147496,AGC,4075
PKN3,39.51284171779139,41.94313128834351,-2.4302895705521195,AGC,4075
NEK5,66.9751607361963,69.40522699386517,-2.4300662576688694,Other,4075
DAPK3,49.19916073619623,51.5953128834358,-2.396152147239576,CAMK,4075
MEKK2,63.516628220859026,65.90019141104321,-2.3835631901841836,STE,4075
PRKX,32.04953128834358,34.43008834355819,-2.3805570552146094,AGC,4075
NEK9,63.75637791411036,66.11457668711658,-2.3581987730062224,Other,4075
DAPK1,47.949163190184,50.221011042944795,-2.271847852760793,CAMK,4075
LATS2,39.52426257668713,41.7890846625767,-2.26482208588957,AGC,4075
CAMK1D,47.77745766871152,50.041973006134796,-2.2645153374232763,CAMK,4075
TGFBR1,47.657506748466126,49.84109938650309,-2.183592638036963,TKL,4075
PKCG,47.92418650306758,50.10464539877301,-2.180458895705428,AGC,4075
MST1,59.66183067484667,61.80778895705499,-2.145958282208319,STE,4075
TAO2,55.826009815950975,57.956451533742424,-2.1304417177914488,STE,4075
TAK1,62.834920245398614,64.95414723926393,-2.1192269938653183,TKL,4075
EEF2K,62.973955828220824,65.05800736196326,-2.0840515337424392,Alpha,4075
SRPK2,28.20580613496935,30.264078527607396,-2.0582723926380453,CMGC,4075
CAMK2A,35.028650306748546,37.06726625766858,-2.0386159509200326,CAMK,4075
IKKA,49.15246871165645,51.186480981595146,-2.0340122699386995,Other,4075
CAMK4,50.547906748466204,52.580770552147236,-2.032863803681032,CAMK,4075
PKCH,51.408012269938666,53.43295705521476,-2.024944785276091,AGC,4075
PLK4,56.20774478527618,58.2106404907976,-2.002895705521425,Other,4075
TLK2,56.498024539877264,58.46586012269937,-1.9678355828221044,Other,4075
TNIK,59.98340122699389,61.940984049079745,-1.957582822085854,STE,4075
PKCA,49.15543558282204,51.09804907975462,-1.9426134969325801,AGC,4075
PKACB,39.260888343558264,41.169766871165734,-1.9088785276074702,AGC,4075
MSK1,42.1458208588959,44.048137423312824,-1.902316564416921,AGC,4075
