accession,cluster_n90,control_n90,cluster_max,control_max,delta_n90,delta_max
A0AVK6,6.25,16.5,96.0375,98.68,-10.25,-2.6425000000000125
A3KN83,30.0,17.416666666666668,97.43416666666667,97.67666666666666,12.583333333333332,-0.2424999999999926
A5YKK6,23.428571428571427,19.0,97.0792857142857,98.46857142857142,4.428571428571427,-1.3892857142857196
A6NF01,20.25,34.5,97.1925,98.87,-14.25,-1.677500000000009
A8CG34,14.5,21.615384615384617,97.21423076923078,98.05653846153845,-7.115384615384617,-0.8423076923076707
O00151,7.4,12.0,95.676,96.674,-4.6,-0.9980000000000047
O00268,20.0,28.166666666666668,98.16250000000001,98.8575,-8.166666666666668,-0.6949999999999932
O00712,7.25,43.75,94.8925,98.5625,-36.5,-3.6700000000000017
O14497,7.888888888888889,23.11111111111111,94.95777777777778,97.07222222222222,-15.222222222222221,-2.1144444444444446
O14519,29.0,24.0,98.79833333333333,99.28500000000001,5.0,-0.4866666666666788
O14639,42.666666666666664,27.333333333333332,98.82333333333334,99.35000000000001,15.333333333333332,-0.5266666666666708
O14964,14.142857142857142,14.0,96.54142857142857,99.03857142857143,0.14285714285714235,-2.4971428571428618
O14974,11.0,21.95,95.089,97.5685,-10.95,-2.4795000000000016
O15014,7.166666666666667,41.833333333333336,96.75833333333333,97.735,-34.66666666666667,-0.9766666666666737
O15027,9.75,18.5,97.035,98.985,-8.75,-1.9500000000000028
O15047,18.571428571428573,18.642857142857142,97.145,96.46714285714286,-0.0714285714285694,0.6778571428571354
O15164,10.0,10.142857142857142,93.1842857142857,95.85142857142857,-0.14285714285714235,-2.6671428571428635
O15178,7.5,11.75,96.30250000000001,97.4175,-4.25,-1.1149999999999949
O15460,40.0,20.333333333333332,97.99000000000001,97.27,19.666666666666668,0.7200000000000131
O15511,24.25,16.75,96.6675,97.7575,7.5,-1.0899999999999892
O15550,24.333333333333332,19.0,98.95,97.35000000000001,5.333333333333332,1.5999999999999943
O43312,27.0,17.0,98.88,97.14666666666666,10.0,1.7333333333333343
O43395,19.5,33.25,98.24249999999999,98.4325,-13.75,-0.19000000000001194
O43432,19.166666666666668,11.333333333333334,97.53166666666668,97.57833333333333,7.833333333333334,-0.046666666666652645
O43615,21.0,50.0,98.065,99.0025,-29.0,-0.9375
O43670,11.5,17.708333333333332,95.42500000000001,97.84375,-6.208333333333332,-2.4187499999999886
O43823,5.666666666666667,21.333333333333332,97.75666666666666,98.32666666666667,-15.666666666666664,-0.5700000000000074
O60318,17.333333333333332,6.0,97.64333333333333,96.27,11.333333333333332,1.3733333333333348
O60488,37.333333333333336,16.333333333333332,99.34666666666668,97.44666666666667,21.000000000000004,1.9000000000000057
O60610,11.333333333333334,17.333333333333332,97.94,97.74333333333334,-5.999999999999998,0.19666666666665833
O60664,23.166666666666668,33.833333333333336,98.98,99.26166666666666,-10.666666666666668,-0.2816666666666521
O60675,10.9,37.9,96.86800000000001,98.953,-27.0,-2.0849999999999937
O60841,26.0,30.333333333333332,99.14,99.08666666666666,-4.333333333333332,0.05333333333334167
O60885,17.0,29.0,98.1975,96.7475,-12.0,1.4500000000000028
O75030,6.666666666666667,15.666666666666666,93.95333333333333,96.79666666666667,-9.0,-2.8433333333333337
O75116,7.0,17.666666666666668,97.93333333333334,98.65333333333332,-10.666666666666668,-0.7199999999999847
O75157,9.4,19.4,97.304,99.18,-9.999999999999998,-1.8760000000000048
O75170,15.666666666666666,52.0,97.53000000000002,99.08333333333333,-36.333333333333336,-1.5533333333333132
O75179,15.324324324324325,19.405405405405407,97.07324324324324,97.36702702702702,-4.0810810810810825,-0.29378378378378045
