accession,gene,has_region,is_fg_nup,is_fg_nup_complex,length,disorder_fraction,st_fraction,n_sites
A0A087WXM9,MEIKIN,False,False,False,373,0.2898089171974522,0.21447721179624665,3
A0A0B4J1W7,NPIPA9,False,False,False,369,0.2898089171974522,0.13821138211382114,1
A0A286YF58,TMEM271,False,False,False,385,0.2898089171974522,0.12727272727272726,1
A0AV96,RBM47,False,False,False,593,0.10961214165261383,0.08263069139966273,3
A0AVK6,E2F8,True,False,False,867,0.49480968858131485,0.1787773933102653,6
A0MZ66,SHTN1,False,False,False,631,0.6497622820919176,0.13946117274167988,1
A1L188,NDUFAF8,False,False,False,74,0.2898089171974522,0.0945945945945946,1
A2RRH5,WDR27,False,False,False,827,0.022974607013301087,0.15114873035066506,1
A2RRP1,NBAS,False,False,False,2371,0.04892450442851118,0.12948123154787008,2
A2RTY3,HEATR9,False,False,False,570,0.2898089171974522,0.10350877192982456,1
A2RUB1,MEIOC,False,False,False,952,0.3392857142857143,0.17016806722689076,1
A2RUS2,DENND3,False,False,False,1198,0.04757929883138564,0.12186978297161936,1
A3KMH1,VWA8,False,False,False,1905,0.08661417322834646,0.12125984251968504,2
A3KN83,SBNO1,True,False,False,1393,0.31299353912419237,0.14501076812634603,14
A4D161,FAM221A,False,False,False,298,0.18791946308724833,0.14093959731543623,1
A4FU49,SH3D21,False,False,False,640,0.8953125,0.1578125,1
A4UGR9,XIRP2,False,False,False,3374,0.528452874925904,0.17042086544161233,3
A5D8V7,ODAD3,False,False,False,595,0.3058823529411765,0.10252100840336134,1
A5YKK6,CNOT1,True,False,False,2376,0.09427609427609428,0.11616161616161616,16
A6H8Y1,BDP1,False,False,False,2624,0.850609756097561,0.16501524390243902,5
A6NC57,ANKRD62,False,False,False,917,0.2202835332606325,0.11668484187568157,1
A6NDG6,PGP,False,False,False,321,0.018691588785046728,0.09034267912772585,1
A6NE01,FAM186A,False,False,False,2351,0.42705231816248407,0.1509995746490855,2
A6NEL2,SOWAHB,False,False,False,793,0.592686002522068,0.13240857503152584,2
A6NF01,POM121B,True,False,False,834,0.7110311750599521,0.29136690647482016,10
A6NGB9,WIPF3,False,False,False,483,0.9917184265010351,0.14285714285714285,1
A6NGG3,LINC03041,False,False,False,77,0.2898089171974522,0.14285714285714285,1
A6NGU5,GGT3P,False,False,False,568,0.2898089171974522,0.12147887323943662,2
A6NHR9,SMCHD1,False,False,False,2005,0.07281795511221945,0.11521197007481297,1
A6NHT5,HMX3,False,False,False,357,0.5014005602240896,0.12044817927170869,2
A6NIH7,UNC119B,False,False,False,251,0.22709163346613545,0.099601593625498,1
A6NIV6,LRRIQ4,False,False,False,560,0.09107142857142857,0.09821428571428571,2
A6NKN8,PCP4L1,False,False,False,68,0.2898089171974522,0.1323529411764706,2
A6NKT7,RGPD3,False,False,False,1758,0.19965870307167236,0.14789533560864618,4
A6NNA5,DRGX,False,False,False,263,0.2898089171974522,0.1634980988593156,1
A6NNZ2,TUBB8B,False,False,False,444,0.2898089171974522,0.12837837837837837,2
A6QL63,ABTB3,False,False,False,1104,0.2898089171974522,0.12590579710144928,1
A7E2V4,ZSWIM8,False,False,False,1837,0.3772455089820359,0.15187806205770277,2
A7KAX9,ARHGAP32,False,False,False,2087,0.5888835649257307,0.16914230953521803,2
A8CG34,POM121C,True,False,True,1229,0.7379983726606998,0.25874694873881204,48
A8MPP1,DDX11L8,False,False,False,907,0.16758544652701213,0.09922822491730982,1
A8MUU9,nan,False,False,False,505,0.2898089171974522,0.3821782178217822,2
A8MW92,PHF20L1,False,False,False,1017,0.5290068829891839,0.14355948869223206,2
A8MWD9,SNRPGP15,False,False,False,76,0.07894736842105263,0.07894736842105263,1
A8MXV6,CDRT15L2,False,False,False,281,0.49466192170818507,0.10676156583629894,1
B1AJZ9,FHAD1,False,False,False,1412,0.4454674220963173,0.11756373937677053,4
B2RTY4,MYO9A,False,False,False,2548,0.2898089171974522,0.13932496075353218,2
B3KS81,SRRM5,False,False,False,715,1.0,0.3202797202797203,3
B4DXR9,ZNF732,False,False,False,585,0.2898089171974522,0.13333333333333333,1
B4DYI2,SPATA31C2,False,False,False,1134,0.2898089171974522,0.1763668430335097,1
B7Z368,LINC02881,False,False,False,130,0.2898089171974522,0.13846153846153847,1
E9PAV3,NACA,False,False,False,2078,0.8358999037536092,0.2343599615014437,7
H7BZ55,CROCC2,False,False,False,1653,0.2898089171974522,0.10465819721718088,2
O00151,PDLIM1,True,False,False,329,0.44984802431610943,0.1458966565349544,7
O00154,ACOT7,False,False,False,380,0.14210526315789473,0.12105263157894737,1
O00165,HAX1,False,False,False,279,0.7491039426523297,0.13978494623655913,1
O00203,AP3B1,False,False,False,1094,0.23491773308957953,0.16087751371115175,1
O00213,APBB1,False,False,False,710,0.5056338028169014,0.13661971830985917,1
O00220,TNFRSF10A,False,False,False,468,0.25854700854700857,0.13034188034188035,1
O00267,SUPT5H,False,False,False,1087,0.43514259429622815,0.1343146274149034,3
O00268,TAF4,True,False,False,1085,0.7576036866359447,0.13732718894009216,21
O00291,HIP1,False,False,False,1037,0.19575699132111862,0.1369334619093539,1
O00327,BMAL1,False,False,False,626,0.39456869009584666,0.16613418530351437,1
O00338,SULT1C2,False,False,False,296,0.030405405405405407,0.11486486486486487,2
O00410,IPO5,False,False,False,1097,0.2898089171974522,0.08659981768459435,1
O00422,SAP18,False,False,False,153,0.40522875816993464,0.1503267973856209,2
O00429,DNM1L,False,False,False,736,0.19972826086956522,0.12228260869565218,1
O00443,PIK3C2A,False,False,False,1686,0.08540925266903915,0.14709371293001186,3
O00468,AGRN,False,False,False,2068,0.15618955512572533,0.12959381044487428,1
O00469,PLOD2,False,False,False,737,0.0,0.08548168249660787,3
O00470,MEIS1,False,False,False,390,0.5358974358974359,0.12564102564102564,1
O00487,PSMD14,False,False,False,310,0.13870967741935483,0.0935483870967742,1
O00507,USP9Y,False,False,False,2555,0.09784735812133072,0.10528375733855186,1
O00512,BCL9,False,False,False,1426,1.0,0.1458625525946704,2
O00548,DLL1,False,False,False,723,0.2898089171974522,0.1272475795297372,1
O00555,CACNA1A,False,False,False,2506,0.42019154030327216,0.11292897047086992,2
O00566,MPHOSPH10,True,False,False,681,0.2898089171974522,0.11160058737151249,3
O00567,NOP56,False,False,False,594,0.28619528619528617,0.13636363636363635,2
O00571,DDX3X,False,False,False,662,0.24773413897280966,0.14954682779456194,3
O00584,RNASET2,False,False,False,256,0.08984375,0.0703125,1
O00592,PODXL,False,False,False,558,0.7258064516129032,0.2831541218637993,3
O00635,TRIM38,False,False,False,465,0.02795698924731183,0.14623655913978495,1
O00712,NFIB,True,False,False,420,0.5,0.16666666666666666,6
O00743,PPP6C,False,False,False,305,0.0,0.09836065573770492,1
O00754,MAN2B1,False,False,False,1011,0.04945598417408507,0.11572700296735905,1
O14490,DLGAP1,False,False,False,977,0.5465711361310133,0.1862845445240532,1
O14497,ARID1A,True,False,False,2285,0.7763676148796499,0.1536105032822757,21
O14512,SOCS7,False,False,False,581,0.5593803786574871,0.13080895008605853,1
O14513,NCKAP5,False,False,False,1909,0.7653221581980094,0.2037716081718177,2
O14519,CDK2AP1,True,False,False,115,0.34782608695652173,0.17391304347826086,6
O14523,C2CD2L,False,False,False,706,0.5269121813031161,0.18696883852691218,2
O14543,SOCS3,False,False,False,225,0.2088888888888889,0.18222222222222223,1
O14559,ARHGAP33,False,False,False,1287,0.5959595959595959,0.15151515151515152,1
O14576,DYNC1I1,False,False,False,645,0.2961240310077519,0.14263565891472868,1
O14594,NCAN,False,False,False,1321,0.5283875851627555,0.14912944738834216,2
O14607,UTY,False,False,False,1347,0.31328878990348924,0.15961395694135114,1
O14639,ABLIM1,True,False,False,778,0.41259640102827766,0.14395886889460155,9
O14647,CHD2,False,False,False,1828,0.5273522975929978,0.1263676148796499,2
O14654,IRS4,False,False,False,1257,0.5521081941129674,0.1360381861575179,2
O14672,ADAM10,False,False,False,748,0.11229946524064172,0.12566844919786097,2
O14686,KMT2D,False,False,False,5537,0.7411955932815604,0.1343687917644934,6
O14709,ZNF197,False,False,False,1029,0.09718172983479106,0.12439261418853255,1
O14715,RGPD8,False,False,False,1765,0.20793201133144476,0.14560906515580738,3
O14744,PRMT5,False,False,False,637,0.2898089171974522,0.11459968602825746,2
O14757,CHEK1,False,False,False,476,0.06092436974789916,0.11554621848739496,1
O14764,GABRD,False,False,False,452,0.017699115044247787,0.12831858407079647,1
O14795,UNC13B,False,False,False,1591,0.18478944060339408,0.14016341923318668,3
O14818,PSMA7,False,False,False,248,0.07258064516129033,0.10887096774193548,2
O14827,RASGRF2,False,False,False,1237,0.13904607922392886,0.13177041228779304,2
O14828,SCAMP3,False,False,False,347,0.34870317002881845,0.12103746397694524,2
O14841,OPLAH,False,False,False,1288,0.10947204968944099,0.11335403726708075,1
O14907,TAX1BP3,False,False,False,124,0.21774193548387097,0.12903225806451613,1
O14920,IKBKB,False,False,False,756,0.11243386243386243,0.12169312169312169,1
O14925,TIMM23,False,False,False,209,0.03349282296650718,0.1339712918660287,2
O14964,HGS,True,False,False,777,0.5482625482625483,0.1274131274131274,7
O14974,PPP1R12A,True,False,False,1030,0.6873786407766991,0.20388349514563106,46
O14978,ZNF263,False,False,False,683,0.49194729136163984,0.13323572474377746,1
O14980,XPO1,False,False,False,1071,0.008403361344537815,0.10830999066293184,1
O14990,PPP1R2C,False,False,False,202,0.8564356435643564,0.1782178217821782,2
O14994,SYN3,False,False,False,580,0.44482758620689655,0.1724137931034483,1
O15014,ZNF609,True,False,False,1411,0.8504606661941885,0.19064493267186391,9
O15015,ZNF646,False,False,False,1832,0.6200873362445415,0.14301310043668122,1
O15016,TRIM66,False,False,False,1351,0.4934210526315789,0.14877868245743894,1
O15018,PDZD2,False,False,False,2839,0.6903839380063402,0.1905600563578725,3
O15027,SEC16A,True,False,False,2357,0.7331353415358507,0.15103945693678406,17
O15031,PLXNB2,False,False,False,1838,0.06147986942328618,0.12731229597388466,3
O15034,RIMBP2,False,False,False,1052,0.42585551330798477,0.13403041825095058,1
O15040,TECPR2,False,False,False,1411,0.2806520198440822,0.17221828490432317,1
O15042,U2SURP,False,False,False,1029,0.652089407191448,0.14091350826044705,1
O15047,SETD1A,True,False,False,1707,0.6971294669009959,0.17340363210310486,15
O15050,TRANK1,False,False,False,2925,0.09196581196581197,0.09743589743589744,1
O15055,PER2,False,False,False,1255,0.4820717131474104,0.17768924302788844,10
O15061,SYNM,False,False,False,1565,0.6492012779552716,0.15271565495207667,1
O15067,PFAS,False,False,False,1338,0.1397608370702541,0.10239162929745889,2
O15083,ERC2,False,False,False,957,0.5600835945663531,0.12643678160919541,1
O15084,ANKRD28,False,False,False,1053,0.022792022792022793,0.12630579297245964,1
O15085,ARHGEF11,False,False,False,1522,0.5749014454664915,0.14586070959264127,3
O15090,ZNF536,False,False,False,1300,0.5476923076923077,0.14461538461538462,1
