accession,arm,observed,expected_length,expected_st,expected_disorder,n_oglcnac,n_phospho,n_st,length
A0AV96,all,1,0.0404721753794266,0.4897959183673469,0.5972222222222222,3,8,49,593
A0AVK6,all,0,0.1868512110726643,1.0451612903225806,0.5340136054421769,6,27,155,867
A0AVK6,regional,0,0.1245674740484429,0.6967741935483871,0.1666666666666666,4,27,155,867
A0MZ66,all,0,0.0443740095087163,0.3181818181818182,0.2307692307692307,1,28,88,631
A2RRH5,all,0,0.0012091898428053,0.008,0.0136986301369863,1,1,125,827
A2RRP1,all,1,0.0210881484605651,0.1628664495114006,0.062111801242236,2,25,307,2371
A2RUB1,all,0,0.0084033613445378,0.0493827160493827,0.0317460317460317,1,8,162,952
A2RUS2,all,0,0.0125208681135225,0.1027397260273972,0.0394736842105263,1,15,146,1198
A3KMH1,all,1,0.0104986876640419,0.0865800865800865,0.1123595505617977,2,10,231,1905
A3KN83,all,0,0.3618090452261306,2.495049504950495,3.574921433060968,14,36,202,1393
A3KN83,regional,0,0.3101220387652548,2.1386138613861387,3.374921433060968,12,36,202,1393
A4D161,all,0,0.0067114093959731,0.0476190476190476,0.0,1,2,42,298
A4FU49,all,0,0.0171875,0.1089108910891089,0.0,1,11,101,640
A4UGR9,all,0,0.0328986366330764,0.1930434782608695,0.2220376522702104,3,37,575,3374
A5D8V7,all,0,0.0201680672268907,0.1967213114754098,0.2413793103448276,1,12,61,595
A5YKK6,all,4,0.1481481481481481,1.2753623188405796,2.010110736639384,16,22,276,2376
A5YKK6,regional,4,0.1296296296296296,1.115942028985507,1.8064516129032255,14,22,276,2376
A6H8Y1,all,1,0.1105182926829268,0.6697459584295612,0.7939693620321893,5,58,433,2624
A6NC57,all,0,0.0098146128680479,0.0841121495327102,0.0555555555555555,1,9,107,917
A6NDG6,all,1,0.0155763239875389,0.1724137931034483,0.2142857142857142,1,5,29,321
A6NE01,all,0,0.0178647384091875,0.1183098591549295,0.1219512195121951,2,21,355,2351
A6NEL2,all,1,0.0403530895334174,0.3047619047619048,0.2777777777777778,2,16,105,793
A6NGB9,all,0,0.0248447204968944,0.1739130434782608,0.1964285714285714,1,12,69,483
A6NHR9,all,1,0.0109725685785536,0.0952380952380952,0.2682926829268293,1,22,231,2005
A6NHT5,all,0,0.0448179271708683,0.3720930232558139,0.0,2,8,43,357
A6NIH7,all,0,0.0039840637450199,0.04,0.3333333333333333,1,1,25,251
A6NKT7,all,0,0.08646188850967,0.5846153846153846,0.5436618884894747,4,38,260,1758
A7E2V4,all,0,0.034839412084921,0.2293906810035842,0.0632653061224489,2,32,279,1837
A7KAX9,all,0,0.0709151892668902,0.4192634560906516,0.2921348314606741,2,74,353,2087
A8CG34,all,4,2.1090317331163546,8.150943396226415,9.104090811736988,48,54,318,1229
A8CG34,regional,2,1.1423921887713588,4.415094339622642,5.524095095309487,26,54,318,1229
A8MW92,all,0,0.0570304818092428,0.3972602739726027,0.5625,2,29,146,1017
A8MXV6,all,0,0.0142348754448398,0.1333333333333333,0.0,1,4,30,281
B1AJZ9,all,0,0.0113314447592068,0.0963855421686747,0.0,4,4,166,1412
B3KS81,all,1,0.1006993006993007,0.314410480349345,0.314410480349345,3,24,229,715
E9PAV3,all,0,0.0842155919153031,0.3593429158110883,0.2488943488943489,7,25,487,2078
O00151,all,7,0.5531914893617021,3.7916666666666665,4.439359267734554,7,26,48,329
O00151,regional,5,0.3951367781155015,2.708333333333333,3.260869565217391,5,26,48,329
O00154,all,0,0.0131578947368421,0.108695652173913,0.088235294117647,1,5,46,380
O00165,all,0,0.050179211469534,0.358974358974359,0.5,1,14,39,279
O00203,all,0,0.0155393053016453,0.096590909090909,0.2,1,17,176,1094
O00213,all,0,0.0225352112676056,0.1649484536082474,0.25,1,16,97,710
O00220,all,1,0.0128205128205128,0.0983606557377049,0.1578947368421052,1,6,61,468
O00267,all,1,0.1021159153633854,0.7602739726027398,0.8872727272727273,3,37,146,1087
O00268,all,4,0.3870967741935484,2.8187919463087248,2.8938536953242835,21,20,149,1085
O00268,regional,4,0.2211981566820276,1.610738255033557,1.905637254901961,12,20,149,1085
O00291,all,0,0.0096432015429122,0.0704225352112676,0.0967741935483871,1,10,142,1037
O00327,all,0,0.0303514376996805,0.1826923076923076,0.0714285714285714,1,19,104,626
O00338,all,0,0.0067567567567567,0.0588235294117647,0.1,2,1,34,296
O00422,all,1,0.130718954248366,0.8695652173913043,1.0666666666666669,2,10,23,153
O00429,all,0,0.0380434782608695,0.3111111111111111,0.1666666666666666,1,28,90,736
O00443,all,0,0.0640569395017793,0.4354838709677419,0.5267820002773126,3,36,248,1686
O00468,all,0,0.0058027079303675,0.044776119402985,0.0659340659340659,1,12,268,2068
O00469,all,0,0.0284938941655359,0.3333333333333333,0.3052631578947368,3,7,63,737
O00470,all,0,0.0076923076923076,0.0612244897959183,0.0,1,3,49,390
O00487,all,0,0.0129032258064516,0.1379310344827586,0.0,1,4,29,310
O00507,all,0,0.0043052837573385,0.0408921933085501,0.0,1,11,269,2555
O00512,all,1,0.0869565217391304,0.5961538461538461,0.6179775280898876,2,62,208,1426
O00555,all,0,0.0159616919393455,0.1413427561837456,0.3,2,20,283,2506
O00567,all,0,0.1212121212121212,0.8888888888888888,0.2,2,36,81,594
O00571,all,3,0.1993957703927492,1.3333333333333333,1.7609427609427608,3,44,99,662
O00592,all,0,0.0913978494623656,0.3227848101265823,0.4285714285714285,3,17,158,558
O00635,all,0,0.0043010752688172,0.0294117647058823,0.03125,1,2,68,465
O00712,all,4,0.4571428571428571,2.742857142857143,3.338235294117647,6,32,70,420
O00712,regional,4,0.3047619047619048,1.8285714285714283,2.4705882352941178,4,32,70,420
O00743,all,0,0.0098360655737704,0.1,0.1111111111111111,1,3,30,305
O00754,all,0,0.009891196834817,0.0854700854700854,0.0,1,10,117,1011
O14490,all,0,0.0327533265097236,0.1758241758241758,0.1666666666666666,1,32,182,977
O14497,all,5,0.6525164113785558,4.247863247863248,4.651709401709401,21,71,351,2285
O14497,regional,0,0.2796498905908096,1.8205128205128205,1.966880341880342,9,71,351,2285
O14512,all,0,0.0086058519793459,0.0657894736842105,0.0909090909090909,1,5,76,581
O14513,all,0,0.0481927710843373,0.2365038560411311,0.2626012793176972,2,46,389,1909
O14519,all,0,0.1565217391304348,0.9,0.6767676767676767,6,3,20,115
O14519,regional,0,0.1565217391304348,0.9,0.6767676767676767,6,3,20,115
O14523,all,0,0.093484419263456,0.5,0.3846153846153846,2,33,132,706
O14543,all,0,0.0044444444444444,0.024390243902439,0.0526315789473684,1,1,41,225
O14559,all,0,0.0124320124320124,0.082051282051282,0.0217391304347826,1,16,195,1287
O14576,all,0,0.0155038759689922,0.108695652173913,0.032258064516129,1,10,92,645
O14594,all,0,0.0030280090840272,0.0203045685279187,0.0196078431372549,2,2,197,1321
O14607,all,0,0.0103934669636228,0.0651162790697674,0.0961538461538461,1,14,215,1347
O14639,all,8,0.6131105398457584,4.258928571428571,6.398717948717949,9,53,112,778
O14639,regional,3,0.2043701799485861,1.4196428571428572,2.230769230769231,3,53,112,778
O14647,all,0,0.0634573304157549,0.5021645021645021,0.6470588235294118,2,58,231,1828
O14654,all,2,0.0763723150357995,0.5614035087719298,0.90625,2,48,171,1257
O14672,all,0,0.0187165775401069,0.1489361702127659,0.0769230769230769,2,7,94,748
O14686,all,0,0.1484558425139967,1.1048387096774193,1.3024095210223392,6,137,744,5537
O14709,all,0,0.010689990281827,0.0859375,0.1224489795918367,1,11,128,1029
O14715,all,0,0.0424929178470254,0.2918287937743191,0.3684153887543718,3,25,257,1765
O14757,all,0,0.0630252100840336,0.5454545454545454,0.5333333333333333,1,30,55,476
O14764,all,0,0.0110619469026548,0.0862068965517241,0.0851063829787234,1,5,58,452
O14795,all,0,0.0339409176618479,0.242152466367713,0.1043643263757115,3,18,223,1591
O14818,all,0,0.0806451612903225,0.7407407407407407,0.9126984126984128,2,10,27,248
O14827,all,0,0.0339531123686337,0.2576687116564417,0.2555410691003911,2,21,163,1237
O14828,all,2,0.0749279538904899,0.6190476190476191,1.5,2,13,42,347
O14841,all,0,0.0077639751552795,0.0684931506849315,0.1515151515151515,1,10,146,1288
O14907,all,1,0.064516129032258,0.5,0.375,1,8,16,124
O14920,all,1,0.0634920634920634,0.5217391304347826,0.6153846153846154,1,48,92,756
O14964,all,3,0.1441441441441441,1.1313131313131313,1.5,7,16,99,777
O14964,regional,3,0.1441441441441441,1.1313131313131313,1.5,7,16,99,777
O14974,all,8,4.5106796116504855,22.123809523809523,22.8365099009901,46,101,210,1030
O14974,regional,5,3.9223300970873782,19.23809523809524,19.843564356435643,40,101,210,1030
O14978,all,0,0.0117130307467057,0.0879120879120879,0.0,1,8,91,683
O14980,all,0,0.0168067226890756,0.1551724137931034,0.0705882352941176,1,18,116,1071
O14990,all,0,0.0297029702970297,0.1666666666666666,0.1954887218045112,2,3,36,202
O14994,all,0,0.0224137931034482,0.13,0.2608695652173913,1,13,100,580
O15014,all,0,0.5357902197023388,2.8104089219330857,2.952366327474561,9,84,269,1411
O15014,regional,0,0.3571934798015592,1.8736059479553904,2.2275744680851064,6,84,269,1411
O15015,all,0,0.0141921397379912,0.099236641221374,0.1666666666666666,1,26,262,1832
O15016,all,0,0.003700962250185,0.0268817204301075,0.0,1,5,186,1351
