accession,gene,has_region,is_fg_nup,is_fg_nup_complex,length,disorder_fraction,st_fraction,n_sites
A0AVK6,E2F8,True,False,False,867,0.49480968858131485,0.1787773933102653,6
A3KN83,SBNO1,True,False,False,1393,0.31299353912419237,0.14501076812634603,14
A5YKK6,CNOT1,True,False,False,2376,0.09427609427609428,0.11616161616161616,16
A6NF01,POM121B,True,False,False,834,0.7110311750599521,0.29136690647482016,10
A6NKT7,RGPD3,False,False,False,1758,0.19965870307167236,0.14789533560864618,4
A8CG34,POM121C,True,False,True,1229,0.7379983726606998,0.25874694873881204,48
B1AJZ9,FHAD1,False,False,False,1412,0.4454674220963173,0.11756373937677053,4
O00151,PDLIM1,True,False,False,329,0.44984802431610943,0.1458966565349544,7
O00268,TAF4,True,False,False,1085,0.7576036866359447,0.13732718894009216,21
O00469,PLOD2,False,False,False,737,0.0,0.08548168249660787,3
O00566,MPHOSPH10,True,False,False,681,0.2898089171974522,0.11160058737151249,3
O00571,DDX3X,False,False,False,662,0.24773413897280966,0.14954682779456194,3
O00712,NFIB,True,False,False,420,0.5,0.16666666666666666,6
O14497,ARID1A,True,False,False,2285,0.7763676148796499,0.1536105032822757,21
O14519,CDK2AP1,True,False,False,115,0.34782608695652173,0.17391304347826086,6
O14639,ABLIM1,True,False,False,778,0.41259640102827766,0.14395886889460155,9
O14964,HGS,True,False,False,777,0.5482625482625483,0.1274131274131274,7
O14974,PPP1R12A,True,False,False,1030,0.6873786407766991,0.20388349514563106,46
O15014,ZNF609,True,False,False,1411,0.8504606661941885,0.19064493267186391,9
O15027,SEC16A,True,False,False,2357,0.7331353415358507,0.15103945693678406,17
O15047,SETD1A,True,False,False,1707,0.6971294669009959,0.17340363210310486,15
O15055,PER2,False,False,False,1255,0.4820717131474104,0.17768924302788844,10
O15085,ARHGEF11,False,False,False,1522,0.5749014454664915,0.14586070959264127,3
O15119,TBX3,False,False,False,743,0.2898089171974522,0.1655450874831763,3
O15164,TRIM24,True,False,False,1050,0.4180952380952381,0.1457142857142857,7
O15178,TBXT,True,False,False,435,0.3563218390804598,0.17011494252873563,4
O15231,ZNF185,False,False,False,689,0.7895500725689405,0.193033381712627,4
O15417,TNRC18,False,False,False,2968,0.7611185983827493,0.14521563342318058,3
O15460,P4HA2,True,False,False,535,0.024299065420560748,0.11214953271028037,3
O15511,ARPC5,True,False,False,151,0.2119205298013245,0.11920529801324503,4
O15550,KDM6A,True,False,False,1401,0.3882940756602427,0.16059957173447537,8
O43151,TET3,False,False,False,1795,0.5392757660167131,0.1426183844011142,10
O43159,RRP8,False,False,False,456,0.5350877192982456,0.11842105263157894,3
O43175,PHGDH,False,False,False,533,0.01125703564727955,0.12570356472795496,3
O43242,PSMD3,False,False,False,534,0.2303370786516854,0.10674157303370786,3
O43312,MTSS1,True,False,False,755,0.6423841059602649,0.19735099337748344,4
O43379,WDR62,True,False,False,1518,0.2898089171974522,0.1613965744400527,5
O43395,PRPF3,True,False,False,683,0.4992679355783309,0.11273792093704246,7
O43399,TPD52L2,False,False,False,206,0.5145631067961165,0.18932038834951456,7
O43432,EIF4G3,True,False,False,1585,0.5425867507886435,0.14321766561514196,12
O43491,EPB41L2,False,False,False,1005,0.5890547263681593,0.14925373134328357,5
O43524,FOXO3,False,False,False,673,0.7800891530460624,0.21693907875185736,10
O43615,TIMM44,True,False,False,452,0.18141592920353983,0.11283185840707964,4
O43670,ZNF207,True,False,False,478,0.8598326359832636,0.12761506276150628,26
O43707,ACTN4,False,False,False,911,0.06695938529088913,0.09659714599341383,3
O43823,AKAP8,True,False,False,692,0.6632947976878613,0.11416184971098266,4
O60293,ZFC3H1,False,False,False,1989,0.4193061840120664,0.14630467571644043,4
O60296,TRAK2,False,False,False,914,0.28665207877461707,0.18161925601750548,5
O60318,MCM3AP,True,False,False,1980,0.22626262626262628,0.15454545454545454,15
O60488,ACSL4,True,False,False,711,0.029535864978902954,0.11392405063291139,3
O60502,OGA,False,False,False,916,0.212882096069869,0.12336244541484716,3
O60610,DIAPH1,True,False,False,1272,0.37971698113207547,0.10534591194968554,4
O60641,SNAP91,False,False,False,907,0.6284454244762955,0.19294377067254687,3
O60664,PLIN3,True,False,False,434,0.17511520737327188,0.16820276497695852,11
O60675,MAFK,True,False,False,156,0.40384615384615385,0.1794871794871795,10
O60841,EIF5B,True,False,False,1220,0.5409836065573771,0.09836065573770492,4
O60885,BRD4,True,False,False,1362,0.8472834067547724,0.12408223201174744,8
