accession,set,offset_-5,offset_-4,offset_-3,offset_-2,offset_-1,offset_+0,offset_+1,offset_+2,offset_+3,offset_+4,offset_+5,plus_one,flank
O15217,phospho,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.1666666666666666
Q9Y6K0,phospho,0.1666666666666666,0.0,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666
Q9C0B5,phospho,0.1578947368421052,0.1052631578947368,0.131578947368421,0.1052631578947368,0.1447368421052631,0.0,0.1842105263157894,0.0933333333333333,0.0666666666666666,0.0933333333333333,0.1066666666666666,0.1842105263157894,0.0993377483443708
Q2NL82,phospho,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0,0.3333333333333333,0.0555555555555555
P09104,phospho,0.1111111111111111,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.0,0.125,0.0,0.1111111111111111,0.0576923076923076
Q96DF8,phospho,0.1153846153846153,0.1538461538461538,0.1153846153846153,0.1111111111111111,0.074074074074074,0.0,0.5185185185185185,0.0,0.1481481481481481,0.0384615384615384,0.2307692307692307,0.5185185185185185,0.0943396226415094
Q9P246,phospho,0.0,0.0689655172413793,0.0689655172413793,0.1034482758620689,0.1034482758620689,0.0,0.1724137931034483,0.2068965517241379,0.1379310344827586,0.0344827586206896,0.1034482758620689,0.1724137931034483,0.1034482758620689
Q92833,phospho,0.0967741935483871,0.032258064516129,0.1290322580645161,0.0967741935483871,0.064516129032258,0.0,0.2258064516129032,0.064516129032258,0.032258064516129,0.064516129032258,0.1290322580645161,0.2258064516129032,0.0698924731182795
P10909,phospho,0.0,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0666666666666666,0.1333333333333333,0.0666666666666666,0.0666666666666666,0.0,0.0444444444444444
Q96QB1,phospho,0.0666666666666666,0.0666666666666666,0.0,0.0444444444444444,0.0666666666666666,0.0,0.1777777777777777,0.0222222222222222,0.0444444444444444,0.0666666666666666,0.0444444444444444,0.1777777777777777,0.0407407407407407
O15439,phospho,0.0588235294117647,0.1176470588235294,0.0,0.0588235294117647,0.1764705882352941,0.0,0.0588235294117647,0.0,0.0588235294117647,0.0,0.0,0.0588235294117647,0.0392156862745098
Q13523,phospho,0.0823529411764705,0.0705882352941176,0.0470588235294117,0.0352941176470588,0.0941176470588235,0.0,0.2588235294117647,0.0588235294117647,0.1294117647058823,0.0,0.1176470588235294,0.2588235294117647,0.0568627450980392
Q9H6Y2,phospho,0.1111111111111111,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1111111111111111,0.2222222222222222,0.1,0.0357142857142857
Q9Y5B8,phospho,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333333333333
P35659,phospho,0.075,0.075,0.0,0.073170731707317,0.048780487804878,0.0,0.024390243902439,0.048780487804878,0.024390243902439,0.0975609756097561,0.073170731707317,0.024390243902439,0.0530612244897959
P52294,phospho,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.1111111111111111,0.2222222222222222,0.0,0.0,0.4444444444444444,0.0576923076923076
Q12888,phospho,0.1026785714285714,0.0758928571428571,0.0758928571428571,0.1071428571428571,0.0758928571428571,0.0,0.1651785714285714,0.085201793721973,0.0538116591928251,0.0762331838565022,0.085201793721973,0.1651785714285714,0.0790454884414616
Q9HBE1,phospho,0.1875,0.0,0.125,0.125,0.0625,0.0,0.1875,0.0625,0.25,0.0625,0.0625,0.1875,0.1041666666666666
Q8TD47,phospho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P10242,phospho,0.0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.0,0.5384615384615384,0.0,0.1538461538461538,0.1538461538461538,0.0,0.5384615384615384,0.0897435897435897
Q53TQ3,phospho,0.0769230769230769,0.0769230769230769,0.2307692307692307,0.0769230769230769,0.0769230769230769,0.0,0.3076923076923077,0.0769230769230769,0.3076923076923077,0.1538461538461538,0.0,0.3076923076923077,0.1538461538461538
Q96TC7,phospho,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0416666666666666,0.0416666666666666,0.0,0.0416666666666666,0.0416666666666666,0.0416666666666666,0.0208333333333333
O94782,phospho,0.1,0.1,0.05,0.0,0.1,0.0,0.4,0.05,0.1,0.1,0.2,0.4,0.0666666666666666
Q9Y2W2,phospho,0.05,0.05,0.0,0.05,0.0,0.0,0.1,0.05,0.15,0.0,0.05,0.1,0.05
P07384,phospho,0.0588235294117647,0.0,0.0,0.0,0.0555555555555555,0.0,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0555555555555555,0.019047619047619
