restriction,accession,radius,n_sites,n_eligible,observed_close_pair_fraction,null_close_pair_fraction,effect
all_strict_sites,A0A087WXM9,5,3,80,0.3333333333333333,0.027531645569620254,0.3058016877637131
all_strict_sites,A0A087WXM9,10,3,80,1.0,0.05284810126582278,0.9471518987341773
all_strict_sites,A0A087WXM9,15,3,80,1.0,0.08132911392405064,0.9186708860759494
all_strict_sites,A0A087WXM9,20,3,80,1.0,0.1120253164556962,0.8879746835443038
all_strict_sites,A0A087WXM9,25,3,80,1.0,0.13860759493670885,0.8613924050632912
all_strict_sites,A0A087WXM9,30,3,80,1.0,0.16962025316455695,0.830379746835443
all_strict_sites,A0AV96,5,3,49,0.3333333333333333,0.02465986394557823,0.3086734693877551
all_strict_sites,A0AV96,10,3,49,0.3333333333333333,0.04336734693877551,0.2899659863945578
all_strict_sites,A0AV96,15,3,49,0.3333333333333333,0.06037414965986394,0.2729591836734694
all_strict_sites,A0AV96,20,3,49,0.3333333333333333,0.07482993197278912,0.25850340136054417
all_strict_sites,A0AV96,25,3,49,0.3333333333333333,0.09098639455782313,0.24234693877551017
all_strict_sites,A0AV96,30,3,49,0.3333333333333333,0.10629251700680271,0.22704081632653061
all_strict_sites,A0AVK6,5,6,155,0.4666666666666667,0.011730205278592375,0.4549364613880743
all_strict_sites,A0AVK6,10,6,155,0.6666666666666666,0.02387934645999162,0.6427873202066751
all_strict_sites,A0AVK6,15,6,155,1.0,0.03720150816925011,0.96279849183075
all_strict_sites,A0AVK6,20,6,155,1.0,0.04976958525345622,0.9502304147465438
all_strict_sites,A0AVK6,25,6,155,1.0,0.06250523669878509,0.937494763301215
all_strict_sites,A0AVK6,30,6,155,1.0,0.07398408043569334,0.9260159195643066
all_strict_sites,A3KN83,5,14,202,0.2087912087912088,0.009605438155755874,0.19918577063545292
all_strict_sites,A3KN83,10,14,202,0.37362637362637363,0.017289788680360574,0.35633658494601306
all_strict_sites,A3KN83,15,14,202,0.4945054945054945,0.02482636323333826,0.46967913127215627
all_strict_sites,A3KN83,20,14,202,0.6153846153846154,0.03260923107236097,0.5827753843122545
