accession,rung,arm,gain
O00268,mammal,region,0
O00268,mammal,region,0
O00268,mammal,control,0
O00268,mammal,control,0
O00268,mammal,region,0
O00268,mammal,region,0
O00268,mammal,region,0
O00268,mammal,region,0
O00268,mammal,control,0
O00268,mammal,control,0
O00268,mammal,control,0
O00268,mammal,control,0
O14964,mammal,region,0
O14964,mammal,region,0
O14974,mammal,region,0
O14974,mammal,region,0
O14974,mammal,region,0
O14974,mammal,region,0
O14974,mammal,region,0
O14974,mammal,region,0
O14974,mammal,region,0
O14974,mammal,region,0
O14974,mammal,region,0
O14974,mammal,control,0
O14974,mammal,control,0
O15027,mammal,region,0
O15027,mammal,region,0
O15027,mammal,region,0
O15027,mammal,region,0
O15027,mammal,region,0
O15027,mammal,region,0
O15027,mammal,control,0
O15027,mammal,control,0
O15047,mammal,control,0
O15047,mammal,control,0
O15047,mammal,control,0
O15047,mammal,control,0
O15047,mammal,control,0
O43615,mammal,control,0
O43615,mammal,control,0
O43615,mammal,control,0
O43615,mammal,control,0
O43615,mammal,control,0
O43615,mammal,control,0
O60318,mammal,region,0
O60318,mammal,region,0
O60318,mammal,region,0
O60318,mammal,region,0
O60664,mammal,region,0
O60664,mammal,region,0
O60664,mammal,control,0
O60664,mammal,control,0
O60664,mammal,control,0
O60664,mammal,control,0
O60664,mammal,control,0
O60664,mammal,control,0
O60664,mammal,region,0
O60664,mammal,region,0
O60664,mammal,region,0
O60664,mammal,region,0
O60664,mammal,region,0
O60664,mammal,region,0
O60664,mammal,region,0
O60664,mammal,control,0
O60664,mammal,control,0
O60664,mammal,control,0
O60841,mammal,control,0
O60841,mammal,control,0
O60885,mammal,control,0
O75116,mammal,region,0
O75116,mammal,region,0
O75179,mammal,region,0
O75376,mammal,region,0
O75376,mammal,region,0
O75376,mammal,region,0
O75376,mammal,region,0
O75376,mammal,control,0
O75376,mammal,control,0
O75376,mammal,control,0
O75376,mammal,region,0
O75376,mammal,region,0
O75376,mammal,control,0
O75376,mammal,control,0
O75717,mammal,region,1
O75717,mammal,region,1
O75717,mammal,control,0
O75717,mammal,control,0
O75717,mammal,control,0
O75717,mammal,control,0
O75717,mammal,control,0
O75717,mammal,control,0
O75717,mammal,control,0
O75717,mammal,control,0
O75717,mammal,control,0
O75717,mammal,control,0
O75717,mammal,control,1
O75717,mammal,control,0
O75717,mammal,control,0
O75909,mammal,control,0
O75909,mammal,control,0
O76070,mammal,control,0
O94913,mammal,region,0
O95081,mammal,region,1
O95081,mammal,region,0
O95081,mammal,region,0
O95081,mammal,region,1
O95081,mammal,region,0
O95487,mammal,region,0
O95487,mammal,region,0
O95487,mammal,region,0
O95487,mammal,region,0
O95487,mammal,region,1
O95487,mammal,region,0
O95487,mammal,region,0
O95487,mammal,region,0
O95487,mammal,region,0
O95487,mammal,region,1
O95487,mammal,control,0
O95487,mammal,control,0
O95487,mammal,region,0
O95487,mammal,control,0
O95487,mammal,control,1
O95487,mammal,control,0
O95487,mammal,control,0
O95487,mammal,control,1
O95487,mammal,control,0
O95628,mammal,control,1
O95628,mammal,control,0
O95628,mammal,control,0
O95628,mammal,control,0
O95628,mammal,control,0
O95628,mammal,control,0
O95628,mammal,control,1
O95628,mammal,control,0
O95628,mammal,control,0
O95628,mammal,control,0
O95628,mammal,control,0
O95628,mammal,control,0
O95628,mammal,region,0
O95628,mammal,region,0
O95628,mammal,control,0
