accession,species,n_columns,true_pearson,true_cosine,true_js,true_position,null_a_pearson,null_a_cosine,null_a_js,null_a_position,null_b_pearson,null_b_cosine,null_b_js
A5YKK6,mouse,25,0.9844957152776227,0.9875192876744455,0.9521928094887362,0.49811675413689877,-0.16518127579858816,0.19256602084330582,0.34522249857680076,,-0.08702775242321276,0.2338287436890678,0.3695115441594108
O00151,mouse,12,0.9588299321097967,0.9682458365518543,0.9896395801880459,0.5291502622129182,-0.2918586157935093,0.07905694150420947,0.11478697925681125,,-0.17960530202677497,0.15811388300841897,0.2295739585136225
O00268,mouse,16,0.9163134203335667,0.9383369280147672,0.9764097655573916,0.3333333333333333,0.30953701401382977,0.4748357352484914,0.6014097655573916,,0.1993591029037761,0.49573006699183364,0.6363914992687588
O60664,mouse,8,0.921875,0.9375,0.9818441215341679,0.7745966692414833,0.22963966338592284,0.44194173824159216,0.45281953111478324,,-0.025515518153991452,0.2651650429449553,0.29718046888521676
O60664,mouse,9,0.8882681564245809,0.9230769230769232,0.8888888888888888,,-0.133132895978568,0.2508726030021272,0.2641604167868594,,-0.13313289597856806,0.2508726030021272,0.2641604167868594
O60675,mouse,24,0.9851261611313491,0.9895857170070453,0.9953007814753613,0.6069769786668842,0.29646602045590054,0.5694444444444446,0.5688152914162498,,0.24786503349591685,0.5416666666666667,0.6904688138555831
O94811,mouse,8,0.8790490729915325,0.9128709291752769,0.9221804688852168,0.7453559924999299,0.2647058823529411,0.4999999999999999,0.46936093777043353,,0.44342202660886976,0.5916079783099616,0.6415414066556504
O95487,mouse,13,0.7014020373706837,0.7902633289178096,0.6734528847818053,,0.2686600703787256,0.5505977612893483,0.47171778871116943,,-0.03405550187899339,0.3670651741928988,0.5196067309356515
O95487,mouse,35,0.8141077629820116,0.8631318863764598,0.8960628288471669,0.2374290399669086,0.49982209046532944,0.681615534984942,0.78156182306325,,0.2397563981646734,0.5622535302317493,0.6372097049017728
O95835,mouse,12,1.0,1.0,1.0,0.529150262212918,0.47803307939932355,0.6338656910463875,0.5943609377704336,,-0.21239226594146793,0.11118739749916516,0.1981203125901445
P05783,mouse,37,0.9747672984890674,0.9823774743872166,0.9764732997034626,0.3927922024247862,0.5285641688054182,0.7028706932113229,0.7487076229917682,,0.502552491156612,0.6865456361112666,0.6591989060963024
P05787,mouse,11,1.0,0.9999999999999998,1.0,,0.30501930501930513,0.5263157894736841,0.5277109306562188,,0.41568394892740945,0.612056372482123,0.6363636363636364
P07196,mouse,11,1.0,1.0000000000000002,1.0,0.670820393249937,0.18326782017231236,0.39279220242478635,0.3590970240859148,,0.3821397791648728,0.5163977794943224,0.5130434762637703
P07196,mouse,8,0.8046784702452218,0.8385254915624211,0.8060373095149851,0.37796447300922714,-0.02143732314281364,0.23717082451262844,0.29718046888521676,,-0.01884445903611023,0.21650635094610968,0.20281953111478324
P07196,rat,11,1.0,1.0000000000000002,1.0,0.34641016151377546,-0.028480474246390976,0.11609086505314303,0.17727884226773294,,-0.29081077533930566,0.0,0.0
P07196,rat,8,0.8046784702452218,0.8385254915624211,0.8060373095149851,,0.3572172541558802,0.5303300858899106,0.5778195311147832,,-0.12862393885688161,0.15811388300841897,0.25
P08670,mouse,36,0.9847366855798326,0.9885106784170505,0.9752257069127303,0.3207501495497921,-0.019907996785416212,0.38587181657064484,0.5193426779671826,0.1690308509457034,0.7184352557570086,0.8046858279386288,0.6591762609706424
P0C7T5,mouse,15,0.8972887573890548,0.9256379771978036,0.9496741665224354,0.32732683535398854,-0.009828039493309125,0.2990499863048702,0.4469969844739021,,-0.19164544843133763,0.11390142225037865,0.20000000000000007
P12270,mouse,23,1.0,1.0,1.0,0.4830458915396481,-0.05247320467973153,0.3267499405248508,0.5047669771494265,,0.3456099715034067,0.5766230620842242,0.6783283356238389
P18846,mouse,25,0.9917064654869456,0.9932746823485408,0.9942486158087686,0.27255973002566547,-0.23285665595430644,0.1630871012600402,0.2950977500432693,,-0.042604296149803586,0.3321070339020436,0.416633307719382
P22681,mouse,10,0.31814238148788887,0.48112522432468807,0.6427376486136671,,0.0,0.2405626121623441,0.2804820237218405,,-0.08671099695241201,0.23570226039551584,0.33774437510817346
P23246,mouse,9,1.0,1.0,1.0,0.3952847075210474,0.30891495347565795,0.40066833797650664,0.3605680553151701,,-0.2259776899633546,0.0,0.0
P31629,mouse,11,0.8610903973584677,0.8914849883204186,0.921121023022291,0.5163977794943225,-0.11067306047553974,0.16208817969462155,0.3070403410074304,,0.29044117474351916,0.43357427487729544,0.40439077055635275
P31629,mouse,13,0.9999999999999999,0.9999999999999999,1.0,0.6396021490668313,0.17318410817284607,0.46861575512653547,0.5815159799524519,,0.1420392411260193,0.4040950971038547,0.46054494042450356
P31629,mouse,9,0.8379919412484823,0.8775269089525568,0.867202248579823,0.5,0.3109529844884306,0.5118906968889915,0.5555555555555556,,-0.09753104942371471,0.20180183819889372,0.180284027657585
P35658,mouse,19,0.9641128601130936,0.9691841150794667,0.9644196546513911,0.2869022920265156,0.6827286847014266,0.7635161692331852,0.6455085529731793,0.3086066999241841,0.31604288216662696,0.507936507936508,0.5277302053950071
P35658,mouse,35,0.9126829889921494,0.9440829671167221,0.9438559308013905,0.2711630722733199,0.7138995094917139,0.8256538382709967,0.778274642430661,,0.40377946178514734,0.5838904672712023,0.6987937515378413
P35658,mouse,45,0.9646873688655624,0.9739880575435347,0.957862790906153,0.19671560592384293,0.9354004046559017,0.9526124080329277,0.8789501512032943,0.05436757761928681,-0.28795182739711117,0.2508368075245958,0.42652906181005024
P35658,mouse,8,1.0,1.0000000000000002,1.0,0.06666666666666667,0.7972972972972973,0.8333333333333335,0.7971804688852169,-0.4879500364742665,0.2791082779901149,0.447213595499958,0.5
P35658,mouse,14,0.5454545454545455,0.6764705882352942,0.7323656223813062,0.2773500981126146,0.2121212121212121,0.4708709557974188,0.37016171345001014,,0.44234589078134523,0.6301260378126045,0.5669393921759721
P35658,mouse,51,0.9332945110616303,0.9583934298104622,0.9625916494610507,0.17606816861659025,-0.4103853299612288,0.2483398104018444,0.4512685101705457,,0.4778660426415995,0.7160594057335639,0.7773490090096364
P35658,mouse,10,0.8610567718228918,0.8872442622820284,0.7427376486136672,-0.10206207261596575,0.6939779183594884,0.7572401854185357,0.7070854725038145,0.5345224838248489,0.7585826061362606,0.8058229640253802,0.6622556248918265
P35658,mouse,12,1.0,1.0,1.0,0.5291502622129183,0.32025630761017426,0.5345224838248488,0.5110276044371003,,0.045596075258755295,0.322329185610152,0.3689480405113893
P35658,mouse,19,0.6125548003610592,0.7426712255859643,0.8518922030669778,,0.7142786869059885,0.8003998239120581,0.8153235496994298,,0.42625307469868756,0.6290666547552539,0.7107540259924547
P35658,mouse,23,0.9421987408567122,0.9580821393507127,0.9631252722564816,,0.7514998306977787,0.8132202844993976,0.8327271146968249,,-0.17497592446506524,0.209972574577615,0.36423668482964067
P35658,mouse,23,0.775294537830489,0.8370753455105274,0.8271685350688441,-0.11236664374387369,0.7822556148370267,0.8456507971062632,0.8253643234061863,,0.42169230635498545,0.6118525818452936,0.6440461880861164
P35658,mouse,12,0.9696915147870588,0.9750168689498873,0.95402487300999,,0.7485602101558939,0.8068715304598785,0.8188118522668012,,0.2581932313995333,0.3997513431667695,0.635880205368335
P35658,mouse,11,0.9514650662251707,0.9575099982900422,0.9395924755935046,,0.35586878063820954,0.45355736761107274,0.5250735901951524,-0.6071428571428572,0.3008562691624691,0.45479402682709763,0.4665755684768367
P35658,mouse,16,0.9126423311754243,0.9316949906249125,0.9473627762916604,0.2277100170213244,0.12820117729284183,0.40509574683346666,0.3667292966721749,,0.22885394385316704,0.4286607049870561,0.5542292966721748
P35658,mouse,33,0.9929007906136318,0.9948090397231797,0.9956428907642185,,0.36625466610813634,0.6264516562919119,0.7093751493641098,,0.0073115917383109125,0.4144250723327224,0.5574639829722763
P35658,mouse,8,1.0,1.0,1.0,0.4879500364742665,0.3888888888888889,0.5669467095138409,0.5165414066556504,,0.09335200560186724,0.3380617018914066,0.42218046888521676
P35658,mouse,11,1.0,1.0,1.0,0.4183300132670377,0.46503892905921174,0.6351073488299559,0.5843069532851519,,-0.004905203231623908,0.3631365196012814,0.36363636363636365
P37198,mouse,31,0.9747266616750901,0.9805917618993161,0.9929837907145622,0.21483446221182967,0.6278696170945535,0.7330288768751431,0.7117047906302062,,0.5015436873710798,0.6546979324754262,0.6809653544706922
P37198,mouse,27,0.9810956669272136,0.9859399412855984,0.9715628416057436,,0.812560279250201,0.858598225983202,0.8507356078196509,,0.022008737393852125,0.3488000445227343,0.5218415708163529
P37198,mouse,11,0.866220735785953,0.9047619047619048,0.92566036257274,,0.645142962284244,0.729396808625797,0.7215592264057825,,-0.20176927901213795,0.07597371763975863,0.1252221591892484
P37198,mouse,43,0.9777957226158408,0.9833160890111148,0.9862775476893243,,0.7005854986694924,0.7854699132064885,0.8644729167728122,,0.5299297270157554,0.7058237711201399,0.8149819222869192
P37198,mouse,76,0.9455001610495181,0.9614624241684046,0.967491975857197,,-0.02164167418894904,0.43264970132007385,0.5792315695649681,,0.015635390483798705,0.4708104725181905,0.6078642702535486
P37198,mouse,9,0.9476495398088213,0.9516249587478258,0.8763576394898525,,0.7780865785102122,0.7969722925954422,0.7164776084577645,,0.32320612282220035,0.4364357804719848,0.3356579988870232
P37198,rat,31,0.9747266616750901,0.9805917618993161,0.9929837907145622,,-0.09074852935245468,0.30851494826467885,0.3112432423977495,,-0.025735411551268204,0.34222742487897223,0.47086208709533417
P37198,rat,27,0.9829497663194129,0.9869195720659193,0.9761734577423481,,0.7941685393419073,0.8483831270600838,0.9134993617952388,,0.21849591410710398,0.4585005637115377,0.5421628687504401
P37198,rat,11,0.8135126692523639,0.8645299348672512,0.8570342260124246,,0.39606562176456717,0.5318160234783105,0.5250735901951524,,-0.0029706042691482045,0.26186146828319085,0.3070403410074303
P37198,rat,43,0.9832341219111304,0.9868969694980152,0.9853649636936898,,-0.2053571073299262,0.23595604486784127,0.38610212764809604,,0.503939060496072,0.6953437490812518,0.7070325558281286
P37198,rat,76,0.9632916245367033,0.9736430449511214,0.9719367992372622,,-0.08358926295823958,0.33698754746190535,0.5367433299423445,,0.4778032025764846,0.6717998134552193,0.677295515618937
P37198,rat,9,0.9476495398088213,0.9516249587478258,0.8763576394898525,,0.2373314274220338,0.37504578475079636,0.42275780413537856,,-0.003409159145784598,0.20385887657505022,0.29139513876869616
P48431,mouse,14,1.0,0.9999999999999998,1.0,0.5222329678670935,0.14727869405615404,0.3544587784792833,0.4679786802771515,,-0.17373993222660672,0.09128709291752767,0.19677767872596208
P49750,mouse,12,0.9169811860331586,0.9360565811300741,0.9419209540327684,,0.36170212765957455,0.5384615384615384,0.40214518560013457,,0.44501236673450423,0.5929994533288809,0.5549644341243123
P49790,mouse,46,0.9496187403142288,0.9629268516728393,0.9531683717498509,0.1556997888323046,0.6183667819982562,0.7587592782841663,0.8255224979922013,,0.342543830564271,0.617707763884251,0.7506657041388882
P49790,mouse,22,0.9555502726586013,0.9703883145486957,0.965198597322891,,0.7146732145728432,0.8050473686826042,0.7790842045637196,,0.43447016449046866,0.6752994252854109,0.7904717664898334
P49790,mouse,19,0.9216039195112553,0.9421012881957235,0.9646058429487788,0.05484543180953483,0.4239858803107626,0.6095774761698072,0.6179985119832639,,-0.0014179605108005677,0.3361697712509187,0.3645056682795522
P49790,mouse,8,0.8936170212765958,0.9090909090909091,0.8443609377704335,,0.6877574022043239,0.7407437469876467,0.5560373095149851,,0.3360858403966818,0.4719399037242694,0.5227829985375175
P49790,mouse,30,0.9409671403872222,0.9445427039262067,0.9279706636954373,0.2033553133277973,0.17142549279430463,0.39537556712632077,0.6503393979229112,,0.10277530865485994,0.33847128073408733,0.4651102722338589
P49790,mouse,11,0.8288614202697597,0.8641264122753545,0.8033896382139758,0.34641016151377546,0.7413826424048773,0.794996299293326,0.6215714563957939,,0.3599768987706561,0.5227282102428387,0.4564474536348371
P49790,mouse,26,0.8698051188816773,0.9200874124564724,0.9511703051742267,,0.23563339377613685,0.5514109665703558,0.594784363335006,,0.6036559045919536,0.6992520921470976,0.5921920676821387
P49790,mouse,25,0.9523532664857336,0.9678660578212014,0.9282096812344641,0.29755951785595214,0.6835536760323452,0.7795575351440448,0.7288068276187333,,0.6633719513907279,0.777956697032683,0.6996662934944438
P49790,mouse,10,0.7624437362098718,0.8017837257372732,0.7867668746754798,,0.05337605126836238,0.25000000000000006,0.4,,0.12830005981991685,0.33071891388307384,0.5
P49848,mouse,13,1.0,1.0,1.0,0.5916079783099617,0.30570161604595664,0.4952843963740575,0.6310143060217961,,-0.11098662729070707,0.05193296894469108,0.1828802885447488
P49848,mouse,17,0.9785177228786252,0.9836065573770493,0.9939174677788094,0.4909902530309828,0.7333570559249393,0.8023809576455879,0.7566328933985351,,0.6269348553452836,0.7167662244453878,0.7554021881054053
P51610,mouse,9,1.0,1.0,1.0,0.316227766016838,0.31276154397395967,0.4642070825485276,0.4919307206818524,,-0.21281242314511337,0.05337605126836238,0.11111111111111116
P51610,mouse,29,1.0,0.9999999999999998,1.0,1.0,0.7543905672302894,0.8439889569041665,0.8169668618147268,,0.38531457262301166,0.6160959864582927,0.7264147484705246
P51610,mouse,16,0.9637956818756331,0.9750168689498874,0.9655186547574925,0.3333333333333333,-0.36394722245600786,0.10814761408717503,0.17218046888521676,,0.542379944075025,0.692535387657479,0.5995108451573252
P51610,mouse,81,0.9958694856133216,0.9975377060433949,0.9985858997683944,0.7922033873296374,0.5768611171276091,0.7750471087351581,0.8339579423830888,,0.12282758297665582,0.5650811567945211,0.6984930808955401
P51610,mouse,47,1.0,0.9999999999999999,1.0,0.7324541977992672,0.6247521624429903,0.791410643236551,0.7995878665822358,,0.8795664391810518,0.9361702127659575,0.8972644951181479
P51610,mouse,76,1.0,0.9999999999999998,1.0,0.6898275646605591,0.7565195307529026,0.8443881685107384,0.8940640252671737,0.018699615259374008,-0.16650184405592833,0.36739026640413963,0.5441993883155339
P51610,mouse,36,0.9943406449926627,0.9958591954639384,0.9979724564554239,,0.8103196891618605,0.861848447535143,0.7177694543118138,,0.18131997850225826,0.39527699055808696,0.4584060851939681
P51610,mouse,10,1.0,1.0,1.0,,0.27668578554642986,0.45927932677184585,0.5754887502163468,,0.31814238148788887,0.4811252243246882,0.518226398830014
P51610,mouse,13,0.9139044923925269,0.9271726499455308,0.8345901684333654,,0.35199718374488903,0.5063921484243246,0.48039326906434854,,-0.3118444761176298,0.06554735253444623,0.10595721162167182
P51610,mouse,13,0.31208066932618644,0.4459799004723692,0.4802877320390151,0.07142857142857141,0.28542806666556125,0.4411494016915297,0.4960229597015292,,-0.0826076734816347,0.2659080117391552,0.32171261448462607
P54253,mouse,10,0.9230769230769231,0.9444444444444443,0.9,0.40824829046386313,0.6689936080056726,0.7660323462854264,0.7427376486136672,,0.07692307692307694,0.33333333333333337,0.47548875021634684
P82979,mouse,9,1.0,0.9999999999999998,1.0,0.31622776601683805,0.5248897058014047,0.6196773353931867,0.6232933860485347,,0.14240691557507057,0.3328201177351375,0.3752715278979706
P85037,mouse,10,0.5391709742612516,0.591520481751277,0.7580629729365083,,0.5630925063714729,0.6255432421712241,0.5672488983973203,,0.086629616364842,0.24326681639992054,0.30708547250381457
Q02818,mouse,9,0.9195432809606331,0.9393364366277243,0.930827083453526,,0.07977772757192708,0.31311214554257477,0.4172097224626077,,0.4594594594594594,0.588235294117647,0.4444444444444444
Q05209,mouse,9,0.947622761858287,0.9567297464698797,0.9363751651262968,0.39528470752104744,-0.3973214617615362,0.0,0.0,,0.4856151199307665,0.6225430174794673,0.5555555555555556
Q12830,mouse,17,0.9999999999999999,0.9999999999999999,1.0,0.5229763603684907,0.04872617983429131,0.3353037938463635,0.3780809697727454,,-0.10212744737917578,0.28892604740584604,0.42248611695883176
Q12830,mouse,25,0.9908464893089414,0.9928824718147056,0.9750977500432694,0.7205766921228919,0.1404326025140832,0.42759148178782946,0.5383936907708801,,-0.03495600362172181,0.29401121459169555,0.3901955000865387
Q12830,mouse,13,0.5764757385217797,0.6693494407520824,0.8138945945665449,,-0.32846552534195367,0.06839855680567695,0.15384615384615385,,0.6038768686105161,0.6920456654478331,0.7175008473866766
Q12830,mouse,23,0.9586603257062345,0.9692704330381096,0.9840913061769733,,-0.06421621262523214,0.35941194401894333,0.4347229573335072,,-0.1227277498388253,0.2915823089883537,0.3970578805758783
Q12830,mouse,8,0.9299811099505543,0.9428090415820635,0.9221804688852168,,0.06327719971683324,0.25197631533948484,0.32781953111478324,,0.683474646301962,0.7484551991837489,0.6784220607670839
Q12830,mouse,33,0.699333662726405,0.7901298807476568,0.8856465228015057,,0.37444202918404523,0.61627833703686,0.6951274482861647,,0.338908484550872,0.5723041114003798,0.6811512588740032
Q12830,mouse,24,0.5717892462270976,0.6406818166423647,0.8154908807389762,,0.050481475711211955,0.3122285569003859,0.4998746678146281,,0.002312140273407764,0.24046732096741408,0.4322681574430336
Q13554,mouse,14,1.0,1.0000000000000002,1.0,0.6888888888888888,0.1444895667752885,0.30323921743156135,0.4913723242790655,,0.3698270204827933,0.537831591218683,0.40161116063701896
Q14157,mouse,13,0.9465137769969906,0.9630868246861536,0.9865955559385857,,-0.033301144080457666,0.36401260415463194,0.47171778871116943,,-0.027391073932388793,0.32102894156205114,0.41364951931397953
Q14157,mouse,10,1.0,1.0,1.0,,0.19925419255468715,0.35355339059327373,0.4704954767108531,,0.5956833971812706,0.6666666666666667,0.5448298476119879
Q14157,mouse,34,0.9909271547882338,0.9940480537182519,0.9985588259614557,0.25171587463388095,0.019471893637348272,0.35117155057561317,0.5412219099168754,,0.48177815096925564,0.6689590823874753,0.7093542205127769
Q14157,mouse,10,1.0,1.0,1.0,,-0.05986843400892496,0.17817416127494962,0.2754887502163469,,-0.04981354813867179,0.15713484026367722,0.26225562489182663
Q14157,mouse,14,1.0,0.9999999999999999,1.0,,-0.11989364156873673,0.09760860118037877,0.2003443026584576,,0.2762901093288808,0.4237934484132101,0.4006886053169152
Q14157,mouse,9,1.0,0.9999999999999998,1.0,,0.8341645592474448,0.864529934867251,0.7639638846951724,,0.4993827963387714,0.591520481751277,0.4942553862355422
Q14157,mouse,23,1.0,1.0,1.0,,0.542239776183045,0.7334928056269077,0.7640271092984056,,0.4465794170550804,0.6618362750931698,0.6752476954047889
Q14157,mouse,17,1.0,1.0000000000000002,1.0,,0.20340415592179548,0.3991107248264377,0.5486771185898116,,-0.08602569983363761,0.2793721183078313,0.3163202206518667
Q14247,mouse,16,0.8364283610093426,0.9036961141150639,0.9162233255932344,,0.24585377554019458,0.5679301390639018,0.6568609377704336,,0.35687321357316487,0.6063390625908325,0.526711030383542
Q14980,mouse,15,0.9772582407412985,0.9816636461569522,0.9639894846181333,0.3779644730092273,0.1948026464416073,0.43988591938257193,0.5421554168830136,,0.690552563604324,0.7601520456152053,0.7502079142225524
Q15750,mouse,11,1.0,1.0,1.0,0.5590169943749475,-0.058414295040988676,0.2060214108575823,0.32932329535620597,,0.6091776482845964,0.7004727969157798,0.5288850919727146
Q15942,mouse,9,0.947622761858287,0.9567297464698797,0.9806380252446237,0.39528470752104744,-0.21173281552764323,0.053838190205816545,0.11111111111111105,,0.3441914565681589,0.5029556907695452,0.5758071098111268
Q15942,mouse,11,0.726027397260274,0.8235294117647061,0.8645250003933578,0.13363062095621217,0.3455178778496385,0.480822368945951,0.38591931798513934,,0.41568394892740934,0.612056372482123,0.6929596589925697
Q5H9F3,mouse,11,1.0,1.0,1.0,,0.23467773726271057,0.43643578047198467,0.4590847940959035,,0.2838844570211814,0.5006261743217588,0.5454545454545455
Q5T6F2,mouse,8,0.5144957554275265,0.6324555320336759,0.75,,0.6634034720037775,0.7349684152591671,0.6784220607670839,,-0.1020620726159658,0.1336306209562122,0.17218046888521676
Q5T6F2,mouse,33,0.5633299904701908,0.6980240053634471,0.8240778066058603,0.2664740200495061,0.5781393773658969,0.7158778559995727,0.7471218797591999,,0.5640193808908547,0.7052726623522725,0.7491617933164053
Q5T6F2,mouse,9,0.6472977780031546,0.7442084075352507,0.8588538077558664,0.5976143046671969,-0.34279147481207417,0.06741998624632421,0.10534453774207608,,0.6958218923904045,0.7395739969534468,0.610510139852805
Q5T6F2,mouse,12,0.90392099805885,0.9219544457292888,0.8170683531015338,0.5773502691896257,0.458474650308089,0.6063390625908324,0.5017434991652674,,0.5924937214891259,0.6947088029207739,0.7831971450887453
Q5VWN6,mouse,12,0.8251369970070349,0.8770580193070292,0.7873582063433233,,0.4076609670544931,0.5853694070049634,0.6341367062030676,,-0.17104186373205885,0.24514516892272994,0.23373501976820044
Q5VWN6,mouse,8,0.8195320098147331,0.8609460320922786,0.8043006340947968,,0.5194113811148742,0.6488856845230501,0.6388075254138192,,0.11017817175163998,0.30656966974248295,0.35738653222172023
Q68CP9,mouse,11,0.8948933531664978,0.9192388155425119,0.8559209715710004,,0.4490542589714168,0.6002450479987811,0.558159496086656,,0.09397031390538535,0.36514837167011077,0.3781603274794074
Q6P4R8,mouse,14,0.958541221018915,0.9654352476428982,0.9178337278309823,,-0.01876652419866287,0.1713120722160482,0.2536929659914372,,0.33861177773482015,0.5204834387696162,0.5175080355597523
Q6P4R8,mouse,31,0.953210503503512,0.965471322313278,0.9425131925014287,,0.6655896715079538,0.776139900442612,0.8098568909479078,0.3541071158982553,0.4778864183740926,0.6163148589013463,0.6845401087683708
Q6P4R8,mouse,8,0.9266527380414182,0.9341987329938275,0.9018412214294336,0.7745966692414833,0.5079089545438576,0.5797509043642028,0.5026152487479011,,0.05926088509459601,0.23094010767585027,0.25
Q6P4R8,mouse,32,0.9618178793091764,0.9743547036924464,0.9732460951999163,0.4444009034750092,0.23407425621155428,0.49045804448208885,0.5499405212901466,,0.6975736931540385,0.7961944947578045,0.8066965273645634
Q6P4R8,mouse,8,0.9472122469795575,0.9547859244962514,0.9284220607670839,0.4666666666666667,0.8327759027217359,0.858116330321033,0.8812415918818671,,-0.28301965507088994,0.0,0.0
Q6P4R8,mouse,16,1.0,1.0,1.0,0.25819888974716115,0.05586291920428942,0.3888888888888889,0.3710719681539755,,0.5679396785769423,0.6944444444444444,0.6918426714818007
Q7Z3K3,mouse,28,1.0,1.0,1.0,0.5609681940050746,0.36230731952882717,0.5458305913768106,0.6410549164194153,,0.20543232420569205,0.4780510353793994,0.5454280857264882
Q7Z3K3,mouse,15,1.0,1.0,1.0,0.7071067811865476,0.10711971119856563,0.37893237337253666,0.4503258334775646,,0.6266062190885137,0.737097377089719,0.708170416594551
Q7Z3K3,mouse,10,0.9459053029269172,0.9574271077563382,0.9804820237218406,0.523809523809524,0.242535625036333,0.4558423058385518,0.4622556248918266,,-0.2193817272381392,0.10660035817780524,0.1377443751081735
Q7Z5L9,mouse,16,0.8440922569650439,0.8885675206791942,0.9454444374089611,0.7125253031944253,0.3196679627380409,0.53991776598835,0.6314084987916248,,-0.1480562431447397,0.19818500882235449,0.28008237224512045
Q86TC9,mouse,10,0.8132202844993978,0.8486684247915055,0.9377443751081735,,0.3684210526315789,0.4999999999999999,0.5672488983973203,,0.0,0.27277236279499045,0.30000000000000004
Q86U70,mouse,9,1.0,1.0,1.0,0.39528470752104744,0.5909135681663615,0.6713171133426189,0.4942553862355421,,0.16375428291079758,0.37573457465108967,0.4444444444444444
Q8IVL1,mouse,8,0.8863636363636361,0.9166666666666669,0.9693609377704336,0.4879500364742665,-0.1846372364689991,0.20412414523193148,0.25,,0.82915619758885,0.8660254037844387,0.8034220607670839
Q8IWB9,mouse,12,0.91558338980788,0.9266964086291875,0.8208060158028126,0.31622776601683783,0.6341718324267314,0.7071067811865476,0.573934896284056,,-0.13907347779164778,0.20145574100634508,0.36478697925681125
Q8IWZ8,mouse,17,0.9671773361205411,0.9733285267845754,0.9347270543241499,,-0.15182333992602304,0.1897680288191474,0.24087865280519338,,-0.22261834057977753,0.11157592478608422,0.16962993048985364
Q8IZ21,mouse,20,0.9190140883506056,0.934248380841921,0.8382174119290662,,0.5995560487738423,0.7000126757630367,0.7663069517348731,,-0.09805806756909202,0.3035714285714285,0.4060393730046541
Q8NDV7,mouse,54,0.9999999999999998,1.0,1.0,0.6215815605080605,0.471113781496714,0.6797164109244648,0.8197675365522503,,0.20057000793091478,0.47585995389647656,0.6609323096581294
Q8NFH5,mouse,8,1.0,1.0,1.0,0.7745966692414833,0.08206099398622183,0.3086066999241839,0.25,,-0.14002800840280097,0.1690308509457033,0.17218046888521676
Q8TCU4,mouse,8,0.1965021149155211,0.3418817293789138,0.47560252965230065,,0.2872134789517763,0.46291004988627577,0.5,,-0.02333800140046686,0.253546276418555,0.375
Q8WUH6,mouse,8,1.0,1.0,1.0,0.7745966692414833,0.30012252399939043,0.4743416490252569,0.5,,-0.20728904939721246,0.07216878364870323,0.125
Q8WWM7,mouse,12,0.9001386508947923,0.9265616458263765,0.927694271103767,,0.26668144167106433,0.5084751798731266,0.5833333333333334,,0.3438731924766623,0.5188745216627708,0.5
Q8WWM7,mouse,16,1.0,1.0,1.0,,0.4563568975047623,0.6218743352054219,0.5865906229114681,,-0.03561222848978812,0.3343669275452117,0.40998173371136715
Q8WYP5,mouse,12,0.824356823807587,0.8667190566019204,0.8647869792568113,0.632455532033676,0.07075491376772251,0.4193139346887674,0.43185533235834495,,0.19216443108989956,0.40768712416360564,0.5151886656916783
Q96JM3,mouse,8,0.8728715609439694,0.8944271909999159,0.8532177784002019,,0.07484811885651191,0.28284271247461895,0.22560252965230065,,-0.018712029714128033,0.21213203435596423,0.29718046888521676
Q96KR1,mouse,10,1.0,0.9999999999999999,1.0,,0.44539933408304444,0.5773502691896256,0.6232196723355078,-0.4999999999999999,0.15384615384615388,0.38888888888888873,0.34273764861366707
Q96KR1,mouse,11,1.0,0.9999999999999999,1.0,0.41833001326703784,-0.20137278021311752,0.14002800840280097,0.21613125009833944,,-0.0028252533226869516,0.2519763153394848,0.2892967262091036
Q96KR1,mouse,8,1.0,1.0,1.0,0.5773502691896257,0.30012252399939043,0.4743416490252569,0.5,,-0.0214373231428136,0.23717082451262844,0.375
Q96KR1,mouse,32,0.9889867841409689,0.9929577464788732,0.9979478851952038,0.6546536707079772,0.052005827284098666,0.44007041690050686,0.49510118540236436,,0.019609006601707744,0.37063843324770435,0.46636104357286445
