accession,radius,n_sites,n_exposure_strata,n_variable_sites,n_mapped_peptide_sites,n_tryptic_fallback_sites,observed_close_pairs,possible_pairs,observed_close_pair_fraction,null_mean_close_pair_fraction,null_sd_close_pair_fraction,effect,fold,p_value,simulation_draws
A0A087WXM9,10,3,2,1,3,0,3,3,1.0,0.5616666666666666,0.3164430109841446,0.4383333333333333,1.7804154302670625,0.3428285857071464,2000
A0A087WXM9,15,3,2,1,3,0,3,3,1.0,0.8875,0.1576584221950877,0.1125,1.1267605633802815,0.6626686656671664,2000
A0A087WXM9,20,3,2,1,3,0,3,3,1.0,1.0,0.0,0.0,1.0,1.0,2000
A0A087WXM9,25,3,2,1,3,0,3,3,1.0,1.0,0.0,0.0,1.0,1.0,2000
A0A087WXM9,30,3,2,1,3,0,3,3,1.0,1.0,0.0,0.0,1.0,1.0,2000
A0A087WXM9,5,3,2,1,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
A0AV96,10,3,2,1,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
A0AV96,15,3,2,1,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
A0AV96,20,3,2,1,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
A0AV96,25,3,2,1,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
A0AV96,30,3,2,1,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
A0AV96,5,3,2,1,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
A0AVK6,10,6,2,6,4,2,10,15,0.6666666666666666,0.5291333333333335,0.101328642282789,0.1375333333333331,1.2599218848431393,0.192903548225887,2000
A0AVK6,15,6,2,6,4,2,15,15,1.0,0.8479000000000001,0.078086667573378,0.1520999999999999,1.179384361363368,0.0624687656171914,2000
A0AVK6,20,6,2,6,4,2,15,15,1.0,0.8893000000000002,0.0675525516110985,0.1106999999999998,1.1244799280332844,0.1334332833583208,2000
A0AVK6,25,6,2,6,4,2,15,15,1.0,1.0,0.0,0.0,1.0,1.0,2000
A0AVK6,30,6,2,6,4,2,15,15,1.0,1.0,0.0,0.0,1.0,1.0,2000
A0AVK6,5,6,2,6,4,2,7,15,0.4666666666666667,0.2786,0.0764959638341012,0.1880666666666666,1.675041876046901,0.0624687656171914,2000
A3KN83,10,14,8,4,13,1,34,91,0.3736263736263736,0.3809065934065934,0.0051975304020358,-0.0072802197802198,0.9808871258564732,1.0,2000
A3KN83,15,14,8,4,13,1,45,91,0.4945054945054945,0.5053296703296704,0.0089282252005652,-0.0108241758241758,0.978579971729912,1.0,2000
A3KN83,20,14,8,4,13,1,56,91,0.6153846153846154,0.6189285714285713,0.0051379126640479,-0.0035439560439558,0.9942740467841452,1.0,2000
A3KN83,25,14,8,4,13,1,64,91,0.7032967032967034,0.703296703296703,3.331502053524325e-16,0.0,1.0000000000000004,1.0,2000
A3KN83,30,14,8,4,13,1,67,91,0.7362637362637363,0.7362637362637365,2.221001369016217e-16,0.0,0.9999999999999996,1.0,2000
A3KN83,5,14,8,4,13,1,19,91,0.2087912087912088,0.2051923076923077,0.0103535356402157,0.003598901098901,1.0175391618690586,0.568215892053973,2000
A4UGR9,10,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
A4UGR9,15,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
A4UGR9,20,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
A4UGR9,25,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
A4UGR9,30,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
A4UGR9,5,3,3,2,3,0,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
A5YKK6,10,16,8,1,16,0,61,120,0.5083333333333333,0.5083333333333331,2.221001369016217e-16,0.0,1.0000000000000004,1.0,2000
A5YKK6,15,16,8,1,16,0,77,120,0.6416666666666667,0.6416666666666668,1.1105006845081086e-16,0.0,0.9999999999999998,1.0,2000
A5YKK6,20,16,8,1,16,0,88,120,0.7333333333333333,0.7333333333333332,1.1105006845081086e-16,0.0,1.0000000000000002,1.0,2000
A5YKK6,25,16,8,1,16,0,91,120,0.7583333333333333,0.7583333333333331,2.221001369016217e-16,0.0,1.0000000000000002,1.0,2000
A5YKK6,30,16,8,1,16,0,91,120,0.7583333333333333,0.7583333333333331,2.221001369016217e-16,0.0,1.0000000000000002,1.0,2000
A5YKK6,5,16,8,1,16,0,34,120,0.2833333333333333,0.2833333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
A6H8Y1,10,5,5,3,5,0,1,10,0.1,0.1,1.3881258556351357e-17,0.0,1.0,1.0,2000
A6H8Y1,15,5,5,3,5,0,1,10,0.1,0.1,1.3881258556351357e-17,0.0,1.0,1.0,2000
A6H8Y1,20,5,5,3,5,0,1,10,0.1,0.1,1.3881258556351357e-17,0.0,1.0,1.0,2000
A6H8Y1,25,5,5,3,5,0,1,10,0.1,0.1,1.3881258556351357e-17,0.0,1.0,1.0,2000
A6H8Y1,30,5,5,3,5,0,1,10,0.1,0.1,1.3881258556351357e-17,0.0,1.0,1.0,2000
A6H8Y1,5,5,5,3,5,0,1,10,0.1,0.1,1.3881258556351357e-17,0.0,1.0,1.0,2000
A6NF01,10,10,6,7,10,0,10,45,0.2222222222222222,0.1698777777777778,0.0321198706404393,0.0523444444444444,1.3081300281247954,0.1054472763618191,2000
A6NF01,15,10,6,7,10,0,12,45,0.2666666666666666,0.2369777777777778,0.0262071463225261,0.0296888888888888,1.1252813203300824,0.2223888055972014,2000
A6NF01,20,10,6,7,10,0,14,45,0.3111111111111111,0.3111888888888888,0.0303837388382815,-7.77777777777322e-05,0.999750062484379,0.585207396301849,2000
A6NF01,25,10,6,7,10,0,16,45,0.3555555555555555,0.3727666666666666,0.0392472967044367,-0.017211111111111,0.9538287281290054,0.7556221889055472,2000
A6NF01,30,10,6,7,10,0,19,45,0.4222222222222222,0.4546333333333334,0.0354898909377301,-0.0324111111111111,0.9287093384167948,0.8950524737631185,2000
A6NF01,5,10,6,7,10,0,5,45,0.1111111111111111,0.0706,0.0253793262962154,0.0405111111111111,1.5738117721120557,0.128935532233883,2000
A6NKT7,10,4,3,2,4,0,1,6,0.1666666666666666,0.2296666666666666,0.0808348138710468,-0.063,0.7256894049346879,1.0,2000
A6NKT7,15,4,3,2,4,0,2,6,0.3333333333333333,0.2716666666666666,0.0804875090902916,0.0616666666666666,1.2269938650306749,0.6301849075462269,2000
A6NKT7,20,4,3,2,4,0,2,6,0.3333333333333333,0.2990833333333333,0.0673612618879345,0.03425,1.1145165784341042,0.7946026986506747,2000
A6NKT7,25,4,3,2,4,0,2,6,0.3333333333333333,0.3091666666666666,0.0586981493436393,0.0241666666666666,1.0781671159029649,0.855072463768116,2000
A6NKT7,30,4,3,2,4,0,2,6,0.3333333333333333,0.3363333333333332,0.0819547467354909,-0.0029999999999999,0.9910802775024778,0.888055972013993,2000
A6NKT7,5,4,3,2,4,0,1,6,0.1666666666666666,0.1846666666666666,0.0517430059943821,-0.0179999999999999,0.9025270758122744,1.0,2000
A8CG34,10,48,19,38,18,30,64,1128,0.0567375886524822,0.0446143617021276,0.0034925179638465,0.0121232269503546,1.2717337307501242,0.0029985007496251,2000
A8CG34,15,48,19,38,18,30,85,1128,0.075354609929078,0.0659747340425531,0.0040728143678265,0.0093798758865248,1.1421737582219715,0.0259870064967516,2000
A8CG34,20,48,19,38,18,30,108,1128,0.0957446808510638,0.0860146276595744,0.0045271775842051,0.0097300531914893,1.1131209127591484,0.0299850074962518,2000
A8CG34,25,48,19,38,18,30,127,1128,0.1125886524822695,0.1045097517730496,0.0050839454173804,0.0080789007092198,1.077302840856074,0.0694652673663168,2000
A8CG34,30,48,19,38,18,30,147,1128,0.1303191489361702,0.1247925531914893,0.0056866830726305,0.0055265957446808,1.0442862623076596,0.1739130434782608,2000
A8CG34,5,48,19,38,18,30,36,1128,0.0319148936170212,0.0222145390070922,0.0028883495003494,0.009700354609929,1.4366669327160984,0.0019990004997501,2000
B1AJZ9,10,4,3,3,4,0,1,6,0.1666666666666666,0.1666666666666666,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
B1AJZ9,15,4,3,3,4,0,1,6,0.1666666666666666,0.1666666666666666,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
B1AJZ9,20,4,3,3,4,0,1,6,0.1666666666666666,0.1666666666666666,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
B1AJZ9,25,4,3,3,4,0,1,6,0.1666666666666666,0.1666666666666666,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
B1AJZ9,30,4,3,3,4,0,1,6,0.1666666666666666,0.1666666666666666,2.776251711270272e-17,0.0,1.0000000000000002,1.0,2000
B1AJZ9,5,4,3,3,4,0,0,6,0.0,0.0584166666666666,0.0795409803211017,-0.0584166666666666,0.0,1.0,2000
B3KS81,10,3,2,3,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
B3KS81,15,3,2,3,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
B3KS81,20,3,2,3,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
B3KS81,25,3,2,3,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
B3KS81,30,3,2,3,3,0,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
B3KS81,5,3,2,3,3,0,0,3,0.0,0.1124999999999999,0.1576584221950877,-0.1124999999999999,0.0,1.0,2000
E9PAV3,10,7,6,5,6,1,3,21,0.1428571428571428,0.1428571428571428,5.552503422540543e-17,0.0,1.0000000000000004,1.0,2000
E9PAV3,15,7,6,5,6,1,3,21,0.1428571428571428,0.1428571428571428,5.552503422540543e-17,0.0,1.0000000000000004,1.0,2000
E9PAV3,20,7,6,5,6,1,3,21,0.1428571428571428,0.1428571428571428,5.552503422540543e-17,0.0,1.0000000000000004,1.0,2000
E9PAV3,25,7,6,5,6,1,3,21,0.1428571428571428,0.1428571428571428,5.552503422540543e-17,0.0,1.0000000000000004,1.0,2000
E9PAV3,30,7,6,5,6,1,3,21,0.1428571428571428,0.1428571428571428,5.552503422540543e-17,0.0,1.0000000000000004,1.0,2000
E9PAV3,5,7,6,5,6,1,1,21,0.0476190476190476,0.0788333333333333,0.0226344667423914,-0.0312142857142857,0.6040471156750226,1.0,2000
O00151,10,7,4,2,5,2,9,21,0.4285714285714285,0.3968333333333333,0.0224562534898126,0.0317380952380951,1.0799784004319912,0.3338330834582708,2000
O00151,15,7,4,2,5,2,11,21,0.5238095238095238,0.5238095238095238,0.0,0.0,1.0,1.0,2000
O00151,20,7,4,2,5,2,12,21,0.5714285714285714,0.5396904761904762,0.0224562534898125,0.0317380952380952,1.0588079587064896,0.3338330834582708,2000
O00151,25,7,4,2,5,2,14,21,0.6666666666666666,0.6349285714285713,0.0224562534898125,0.0317380952380953,1.0499868751640606,0.3338330834582708,2000
O00151,30,7,4,2,5,2,15,21,0.7142857142857143,0.7142857142857141,2.221001369016217e-16,0.0,1.0000000000000002,1.0,2000
O00151,5,7,4,2,5,2,6,21,0.2857142857142857,0.270547619047619,0.0221910041407961,0.0151666666666667,1.0560591393118015,0.6816591704147926,2000
O00267,10,3,3,2,2,1,1,3,0.3333333333333333,0.1695,0.1666842578677136,0.1638333333333333,1.9665683382497536,0.5087456271864068,2000
O00267,15,3,3,2,2,1,1,3,0.3333333333333333,0.1695,0.1666842578677136,0.1638333333333333,1.9665683382497536,0.5087456271864068,2000
O00267,20,3,3,2,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00267,25,3,3,2,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00267,30,3,3,2,2,1,1,3,0.3333333333333333,0.3333333333333332,5.552503422540543e-17,0.0,1.0000000000000002,1.0,2000
O00267,5,3,3,2,2,1,0,3,0.0,0.0,0.0,0.0,inf,1.0,2000
O00268,10,21,12,9,19,2,26,210,0.1238095238095238,0.1209095238095238,0.0086985121277007,0.0029,1.0239848765310544,0.4417791104447776,2000
O00268,15,21,12,9,19,2,34,210,0.1619047619047619,0.1666690476190476,0.0134421444339821,-0.0047642857142856,0.9714146940757992,0.6661669165417291,2000
